username,time,text,tags,latitude,longitude,location
@Mustaqbalweblb,5h,"بعد إصابته بـ""كورونا"".. أول صورة لرونالدو من الحجر",[],33.894204,35.485805,Beirut
@AlMayadeenNews,6h,ما السياسات التي سيعتمدها قادة الدول في #أوروبا لوقف طفرة وباء #كورونا بدون إغلاق حدود البلاد؟,"['#كورونا', '#أوروبا']",33.894204,35.485805,Beirut
@Lebanon24,6h,"إيران تعلن تسجيل 4830 إصابة جديدة بفيروس كورونا و273 وفاة خلال 24 ساعة 
#lebanon24",['#lebanon24'],33.894204,35.485805,Beirut
@kataeb_Ar,6h,#إيران تسجل 4830 إصابة جديدة بـ #كورونا و 273 وفاة خلال 24 ساعة,"['#كورونا', '#إيران']",33.894204,35.485805,Beirut
@paltoday_tv,6h,"#عاجل 
وزارة الصحة: تسجيل 4 حالات وفاة و532 إصابة جديدة بفيروس كورونا و602 حالة تعافٍ بالقدس والضفة وغزة خلال الـ24 ساعة الماضية.",['#عاجل'],33.894204,35.485805,Beirut
@Paltodaytv,6h,"#عاجل 
وزارة الصحة: تسجيل 4 حالات وفاة و532 إصابة جديدة بفيروس كورونا و602 حالة تعافٍ بالقدس والضفة وغزة خلال الـ24 ساعة الماضية.",['#عاجل'],33.894204,35.485805,Beirut
@MariamSeif,7h,بهمة #وزارة_الصحة ليصير #لبنان المصدر الأول ل #كورونا,"['#وزارة_الصحة', '#كورونا', '#لبنان']",33.894204,35.485805,Beirut
@UNDP_Lebanon,7h,"Damaged by the #BeirutBlast, 
@UNDP_Lebanon
 is committing USD1.5 million to rehabilitating & equipping the Karentina Primary Healthcare Center as a point of service for people with disability under the UNDP & 
@UNESCWA
 initiative for persons with disabilities. #LebPwDInitiative","['#BeirutBlast', '#LebPwDInitiative']",33.894204,35.485805,Beirut
@leb_now,7h,أسوأ سيناريوهات فيروس كورونا ستحل في لبنان!,[],33.894204,35.485805,Beirut
@shjabbour,7h,Please join us at this webinar. I will be speaking about COVID-19 in conflict settings,[],33.894204,35.485805,Beirut
@MohamadHoujeij,7h,المريض الياس صعب (٨١ عاماً)  يعاني من أمراض القلب والسكري والانسداد الروؤي، يروي تجربته مع  #فيروس_كورونا وبعدما رفضت المستشفيات استقباله رغم ان حالته كانت حرجة جداً ووضعه غير مستقر قمت بمتابعته من المنزل وهكذا كانت النتيجة,['#فيروس_كورونا'],33.894204,35.485805,Beirut
@KohlJournal,9h,". 
@sendushomekenya
 has launched their fundraiser to raise funds to support the return of Kenyan migrant workers impacted by the Beirut explosion and Covid-19 in Lebanon and elsewhere in the Middle East. Please support/share",[],33.894204,35.485805,Beirut
@AUBMC_Official,9h,"#COVID19 daily figures tested at AUBMC. #coronavirus

To know more about #corona virus, go to http://bit.ly/AUBMCcovid","['#coronavirus', '#corona', '#COVID19']",33.894204,35.485805,Beirut
@kjoumaa,9h,بعد “جونسون آند جونسون”.. شركة أدوية أميركية تعلق تجارب لقاح كورونا,[],33.894204,35.485805,Beirut
@Lebanon24,9h,"بعد ""جونسون آند جونسون"".. شركة أدوية أميركية تعلق تجارب لقاح #كورونا 
#lebanon24","['#lebanon24', '#كورونا']",33.894204,35.485805,Beirut
@AlexGSimon,9h,"As covid spiraled out of control in Syria, the regime didn't just ignore the crisis: It actively obstructed efforts to mount a coherent response.

Important piece by 
@Qussai_jukhadar
 & 
@Elizrael",[],33.894204,35.485805,Beirut
@Lebanowofficial,10h,"#لبنان_الآن :
 عـاجـل | البنك الدولي يوافق على 12 مليار دولار مساعدة للقاحات ضد كورونا

#Lebanon_Now","['#Lebanon_Now', '#لبنان_الآن']",33.894204,35.485805,Beirut
@AnbaaOnline,10h,هولندا: إصابات كورونا تصل إلى 194 ألفا و591 والوفيات 6689,[],33.894204,35.485805,Beirut
@AliwaaNewspaper,10h,"لقاح «كورونا» المنتظر يتعثّر.. شركة أميركيّة ثانية تعلّق التجارب السريريّة
https://bit.ly/3172xyV",[],33.894204,35.485805,Beirut
@SonyaSEtiq,10h,Even in Liverpool (UK) they are heading into a Covid-19 disaster - people should be responsible everywhere - this is not a joke! How irresponsible some people can be! ,[],33.894204,35.485805,Beirut
