username,time,text,tags,locations
Pink Aubergine,Aug 25,"Masque Drôle 
 
#staysafe #mask #lifestyle #newnormal #conceptstore #beirut #lebanon #summer #coronavirus #corona #summeressentials #amman #ksa #qatar #kuwait #dubai #abudhabi #riyadh #jeddah #cairo #oman #bahrain… https://instagram.com/p/CETqMB4JW2l/?igshid=15qizdgwbsv1z…","['#oman', '#qatar', '#mask', '#lifestyle', '#dubai', '#staysafe', '#corona', '#amman', '#newnormal', '#bahrain', '#jeddah', '#summer', '#lebanon', '#kuwait', '#beirut', '#cairo', '#conceptstore', '#summeressentials', '#abudhabi', '#ksa', '#coronavirus', '#riyadh']",
ChantixCharbel,Aug 25,The only thing this brewery knows about corona is its competition,[],
r,Aug 25,"Ta3a habibe enta, mafi corona baynetna ",[],
Mount The Gallows For Ralph and JoeⓋ,Aug 24,"Replying to 
@Shalashtein",[],
deçu,Aug 24,I thought I couldn’t feel any deeper sadness until today when I saw my best friend for the last time before she leaves the country for good AND I COULDN’T EVEN GIVE HER ONE LAST HUG BECAUSE OF CORONA AND ALL THE CHAOS THAT IS HAPPENING.,[],
Lily,Aug 24,"Me, pmsing
My little brother: batnik ktirktirktirktir aam youjaiik?
Me, giving him the death stare:yes, now leave 
Him: yi yaane maiik corona
??",[],
Lebanon Hate Account,Aug 23,"Replying to 
@lyla3wat
 and 
@DearBaron",[],
Karine hayek,Aug 23,corona ya corona,[],
Penguin,Aug 23,"Replying to 
@mich_h",[],
Nisrine Hatoum نسرين حاطوم,Aug 23,507 new #corona cases in #lebanon #beirut,"['#corona', '#beirut', '#lebanon']",
̨بــٰا̍ڛۜــمۘ ̨ڛۜــ؏ــٰا̍دۃ,Aug 23,Corona can’t find me here.,[],
✯♛ G ♛✯,Aug 23,"Can corona end already ?
Azde Kel shi balash maa aw bi waet corona .. kholis ..
Fa yall.. bi zyede",[],
بَيْرُوتْ,Aug 23,"My neighbors throwing a full on party on their roof with speakers, microphone, etc.. in the midst of this chaos and tragedy, TKHATTAYNA 

Bas ma betkhatta how they were screaming (i guess drunk) “MA FI CORONA KELLA KEZBA MA HADA MENNA AANDO CORONA” 

Bro nshalla btendefso R fikon",[],
,Aug 22,"Replying to 
@thatkevxn
 and 
@Mxrceee",[],
elie aoun,Aug 22,"Replying to 
@dimahmz",[],
carole kahwagi,Aug 22,"Stop covid 19! Lebanon had enough
إذا مش كرمالي وكرمالكن، كرمال أهلي وأهلكن
#stopcovid19 #stopcoronavirus
 #coronavirus #corona #virus #lebanon #beirut #beirutlebanon #carolekahwagi #savelebanon #prayforlebanon
… https://instagram.com/p/CEMvrqxFvmW/?igshid=1vw4syks6aqve…","['#prayforlebanon', '#corona', '#virus', '#carolekahwagi', '#savelebanon', '#lebanon', '#beirut', '#coronavirus', '#beirutlebanon', '#stopcovid19', '#stopcoronavirus']",
بَيْرُوتْ,Aug 22,"Replying to 
@gggguuuyyy",[],
Ali Atat,Aug 22,الدعوة للتشهير بكل شخص يتسبب بنقل فيروس ال corona 19 اصبح من الضرورة القصوى الرجاء سماع هذه الرساله الصوتيه,[],
Nisi,Aug 22,I miss going out to flaunt my lipsticks :( fuck corona and masks ughhh,[],
Elie N. Azar,Aug 21,"Replying to 
@fuckbythesunset",[],
Zeher ...,Aug 21,"Replying to 
@inedith_
 and 
@Nevnaya",[],
𝕌𝕣𝕒𝕟𝕦𝕤,Aug 21,"Replying to 
@NotAtypicalDruz",[],
Fady Karam,Aug 21,": CORONA
: كورونا
: عرس الغوالي اليوم اجمل عرس",[],
E L I A S,Aug 21,Tab May Chidiac already la2atit corona w sa7it. Lesh ma bet7ot kemmeme a7san ma tol2ata marra tenye w twaddi3?,[],
Hani,Aug 21,"Please stop posting about COVID-19 like it’s the only issue in lebanon. I could care less about corona. Let’s think of the poverty rates, the crisis. How will the displaced/homeless quarantine? Corona is nothing compared to what’s happening...",[],
Gbelaur,Aug 21,"Replying to 
@ghiduck",[],
HaSan San #علقوا_المشانق,Aug 21,"Halla2 shefet wedding 3al insta story ya3ni fi bl mayte 200 shakhes w kello 3m yer2os ma3 kello... KIIIIIIF YA3NEEEEEEE 
 wlak enso corona kif elkon nafes 3njad ",[],
Yeghia Tashjian,Aug 20,Yes but after Corona,[],
A,Aug 20,"Every time I hear ""Corona"" I automatically go wash my hands ",[],
KARAM PETER,Aug 20,"Corona virus cases in Leb
5 6 8 8 10 20 32 55 60 60 101 203 300 499 501 605
Boukra 777
Baad bkra 806",[],
Nisrine Hatoum نسرين حاطوم,Aug 20,605 new #corona cases in #Lebanon !,"['#Lebanon', '#corona']",
Michael,Aug 20,Will be attending a wedding in 2 hrs. Will I catch corona? Let's hope not.,[],
HaSan San #علقوا_المشانق,Aug 20,"Replying to 
@nameth_",[],
Hani,Aug 20,What could possibly be more corona infested than a lebanese government building ?,[],
ChantixCharbel,Aug 19,"Replying to 
@planko961",[],
