location,lat,long,sentiment
العذرا,34.0569,35.7197,0.11439393939393938
العذرة,34.0636,35.6963,0.059249401913875566
العرائش,33.1678,35.3781,-0.1875
العربانية,33.8772,35.6786,0.08456273448773449
العربة,34.2008,35.7847,0.12134027777777776
العرضان,33.5342,35.385,-0.35
العزق,34.12,35.9019,0.028493589743589738
العزونية,33.7739,35.7061,0.125
العزيبة,33.1364,35.3286,0.2794034090909091
العصبة,34.1872,35.7886,0.0020958607296033076
العفص,34.0142,35.6811,0.11712166305916306
العقبة,34.2307,35.8369,0.0
العقيبة,34.0597,35.6436,0.425
العقيدة,33.3676,35.5,0.1542693213649096
العلالي,34.2049,35.7722,0.06760011099726775
العليمة,33.2153,35.4125,0.23671820243248812
العماير,34.6278,36.3861,-0.05
العنسية,33.5847,35.4283,0.050559388528138516
العويشات,34.6228,36.3814,0.13
العوينات,34.6333,36.3,-0.30461309523809527
العويني,34.1192,35.7697,0.07974025974025975
العيارة,34.2386,36.1122,0.1268277417027417
العيرون,33.9067,35.7008,0.0
الغابات,34.0822,35.8733,0.017212023690166098
الغابة,33.8873,35.5284,0.025601325757575753
الغابري,33.5403,35.6753,-0.13003652597402598
الغابون,33.83,35.5956,0.1209090909090909
الغابية,34.1683,35.8978,-0.024362103174603175
الغاميرات,34.2953,36.2908,0.012946428571428581
الغدفة,33.3781,35.7347,0.1266861979166667
الغماق,34.1403,35.6364,0.0959643308080808
الغمق,34.0867,35.6556,0.040277777777777767
الغميقة,33.3847,35.4056,0.5428571428571428
الغوار,33.8314,35.5936,0.02160203222703222
الغويات,33.8625,35.5725,0.1178866792929293
الغيدة,33.8733,35.8197,-0.07648809523809524
الغينة,34.0386,35.7108,0.1537878787878788
الفبركة,33.7972,35.6822,0.19115885416666667
الفتاتيل,33.2319,35.4889,-0.02
الفتاح,33.8358,35.7475,0.11599999999999999
الفتحان,34.0961,35.7725,-0.5
الفراديس,34.2775,35.9341,0.10370833333333333
الفريدس,34.6156,36.2297,0.12685876623376624
الفسقين,33.8636,35.8164,0.07916666666666665
الفطيرة,34.355,35.8853,0.06654316271963333
الفعور,33.7808,35.97,0.026041666666666668
الفنار,33.8781,35.5781,0.1671717171717172
الفوار,34.4331,35.8886,0.06818181818181818
الفيدار,34.0978,35.6519,0.1
القادرية,34.4165,35.9281,0.11231060606060606
القاسمية,33.3314,35.2528,0.1037957702020202
القاطع,33.6761,35.4817,0.0
القبيات,33.895,35.5337,-0.0427958152958153
القبيبة,33.3564,35.6433,-0.0035714285714285657
القتلبة,34.5444,36.2847,0.0
القتي,33.2492,35.2897,0.07197125790875793
القدامية,34.135,35.6528,0.0
القديس,33.5539,35.3678,0.13782348632812502
القرعون,33.5628,35.7219,0.061562500000000006
القرعي,33.1806,35.4597,0.026755050505050514
القرقفي,34.1572,35.6378,0.09166666666666666
القرقوف,34.1039,35.8953,0.24687499999999998
القرية,33.5392,35.4169,0.13636363636363635
القشة,34.0139,35.7906,0.03800192682028618
القشيا,33.675,35.5639,0.2361111111111111
القصعة,33.3569,35.65,0.16911111111111113
القصير,33.293,35.4546,-0.1
القصيفية,33.8889,35.7764,0.2959090909090909
القطراني,33.4408,35.6042,0.1784548611111111
القطعي,33.4139,35.4792,0.0
القطين,34.0239,35.7083,-0.19999999999999998
القعقور,33.8925,35.7161,-0.5
القلمون,34.3872,35.7864,0.04
القليعات,34.5822,36.0167,0.09456962481962483
القمبر,34.5689,36.0983,0.09870129870129869
القموع,34.1089,35.9036,0.07303956604737853
القميرة,34.082,35.6639,0.2
القميرزة,34.0503,35.6414,0.02018939393939393
القناية,33.5616,35.3847,0.11825396825396821
القنطرة,33.2733,35.4636,0.7
الكبّوشية,33.895,35.4828,0.13153367003367006
الكراهنة,34.5594,36.1231,-0.125
الكرخانا,33.9453,35.7342,0.06120643445288673
الكركوفة,34.3389,35.9386,-0.2117003367003367
الكرنتينا,33.900999999999996,35.5344,0.07989501953125
الكسار,34.1013,35.7849,-0.8
الكسارة,33.405,35.7461,-0.09027777777777778
الكساير,34.3256,36.2875,0.17430555555555557
الكسران,33.1861,35.3875,0.10956784887001059
الكفر,34.1531,35.6972,0.08295855379188713
الكنيسة,33.2061,35.2631,0.08095238095238096
الكوع,33.1867,35.4042,0.012411253316734878
اللاهبية,33.6997,35.4636,0.0
اللبنايا,33.4361,35.5444,-0.010444527558498158
اللزاق,33.5767,35.5486,-0.03873626373626374
اللقلوق,34.1533,35.8778,0.15749999999999997
اللوبياء,33.428000000000004,35.2881,0.03366442874255374
المؤنسة,34.5972,36.3872,-0.025
المارد,33.2075,35.3997,0.033793997069460034
المتمورة,33.1073,35.2176,-0.13107438016528927
المجادل,33.2292,35.3611,-0.0475
المجدل,34.1061,35.9022,0.03464212705284134
المجدية,33.8992,35.5058,0.24545454545454545
المحتي,34.255,35.6808,0.07256305866201701
المحطة,34.0228,35.7061,0.04936616161616162
المحمره,34.1758,35.7283,-0.3
المحنبر,33.3647,35.4075,-0.3125
المحيدثة,33.9167,35.6833,0.4171875
المخاضة,34.1328,35.8447,0.05776643990929705
المختارة,33.6575,35.6144,0.26799999999999996
المخدة,34.4011,35.8825,0.0
المدقر,34.3253,36.2728,-0.02385416666666668
المراحات,33.3411,35.6844,0.07643419913419913
المرادسين,33.9489,35.7397,0.13106060606060604
المرج,33.3118,35.7064,0.03288167388167389
المرمغة,34.1044,36.0489,0.09166666666666667
المروج,34.121,35.7546,0.06590999278499278
المري,33.3204,35.6423,0.06012205387205386
المريكز,33.1025,35.1256,0.05929090711805556
المزرعة,33.88,35.5028,0.0
المزيرع,33.8269,35.6525,0.1257446215400761
المسار,34.2597,35.9603,-0.011351579520697166
المسرب,33.6261,35.4803,-0.30000000000000004
المسلخ,33.9026,35.5363,0.14166666666666666
المسهلة,33.7139,35.5431,0.27222222222222225
المسيبق,33.975,35.7056,0.09375
المسيقة,33.7822,35.6522,0.09548826173826175
المشاتي,34.0497,35.7628,-0.0296875
