year,month,MOHAFAZA_ID,MOHAFAZA_AR,MOHAFAZA_EN,topics,sentiment,sentiment_label
2020,2,1,عكار,Akkar,"['Healthcare Lebanon', 'Home Health', 'Healthcare Staffing', 'Therapy', '#jobs']",0.11149282364460936,Positive
2020,2,2,بعلبك - هرمل,Baalbak - Hermel,"['Medical Center', 'refugees in Lebanon', 'Medical Aid', 'Aid for Palestinians', 'Health Minister', 'medical sector', 'healthcare services']",0.041628338407301825,Positive
2020,2,3,بيروت,Beirut,"['#كورونا #لبنان', 'Medical Assistant', 'Medical Center', 'وزير الصحة', 'refugees', '#coronavirus #كورونا', '#Pregnancy #Birth', '#Cosmetics #treatment', '#center #Pharmaceutical', '#Pharmaceutical #products', '#products #Cosmetics', '#Cosmetics #treatment #lebanon', '#center #Pharmaceutical #products', '#Lebanon #Pregnancy', 'medical support', '#كورونا #كورونا_لبنان', '#treatment #lebanon']",0.0615618344360958,Positive
2020,2,4,البقاع,Bekaa,"['#كورونا #لبنان_ينتفض #لا_داعي_للهلع', 'corona case', 'فيروس #كورونا']",0.06487792385940534,Positive
2020,2,5,جبل لبنان,Mount Lebanon,"['#كورونا #لبنان', 'فيروس #كورونا', '#لبنان #كورونا', 'وزير الصحة', 'Medical Center', 'Aid for Palestinians', '#Healthcare #Job', 'وزارة الصحة']",0.051825206898216666,Positive
2020,2,6,نبطية,Nabatiyeh,"['Syrian refugees', 'school & healthcare', 'فيروس #كورونا', '#كورونا_لبنان #Covid_19', 'Medical Center', 'refugees in Lebanon', 'الحكومة اللبنانية']",0.09291476260027637,Positive
2020,2,7,الشمال,North,"['Jobs', '#Lebanon #Jordan', 'Dubai Jobs', '#Hospital #Doctor']",0.06680744436910646,Positive
2020,2,8,الجنوب,South,"['Medical Camp', 'Medical Center', 'refugees in lebanon', 'provide healthcare', '#كورونا_لبنان #سكروا_المدارس']",0.051536164716178785,Positive
2020,3,1,عكار,Akkar,"['Healthcare Lebanon', 'Therapy', 'medical services', 'high paying']",0.22671628807518446,Positive
2020,3,2,بعلبك - هرمل,Baalbak - Hermel,"['#فيروس_كورونا', '#خليك_بالبيت #كورونا_لبنان', '#كورونا_لبنان #كورونا', '#كورونا_لبنان #كورونا_الجديد', '#كورونا #لبنان', '#كورونا_لبنان #خليك_بالبيت', '#Covid_19 #Lebanon', 'فيروس كورونا', 'وزارة الصحة', 'حظر التجول', 'cases in #Lebanon']",0.05310029609357462,Positive
2020,3,3,بيروت,Beirut,"['#كورونا #لبنان', '#كورونا #كورونا_لبنان', 'فيروس كورونا', '#خليك_بالبيت #كورونا_لبنان', '#كورونا #خليك_بالبيت', 'انتشار', '#Covid_19 #Corona']",0.06565219572269954,Positive
2020,3,4,البقاع,Bekaa,"['#كورونا_لبنان #كورونا', '#كورونا #لبنان', 'wash your hands', 'فيروس كورونا', '#كورونا_لبنان #خليك_بالبيت', '#Covid_19 #كورونا_لبنان', '#الكلوروكين']",0.06379575646034509,Positive
2020,3,5,جبل لبنان,Mount Lebanon,"['#كورونا #كورونا_لبنان', '#خليك_بالبيت #كورونا_لبنان', 'وزارة الصحة', 'وزير الصحة', 'إصابة جديدة', 'حالة وفاة', 'مستشفى رفيق الحريري', 'التعبئة العامة']",0.07693396497808007,Positive
2020,3,6,نبطية,Nabatiyeh,"['#كورونا #لبنان', 'انتشار', '#كورونا #كورونا_لبنان', '#خليك_بالبيت #كورونا_لبنان', 'new cases', '#كورونا_لبنان #COVIDー19', 'وزارة الصحة', 'فيروس #كورونا', '#كورونا_في_الكويت #كورونا_مصر', 'وزير الصحة', '#كورونا_العراق #كورونا_البحرين', 'انتشار كورونا', '#كورونا_المستجد #كورونا_في_الكويت #كورونا_مصر', '#كورونا_مصر #كورونا_لبنان #كورونا_العراق']",0.07848936753680892,Positive
2020,3,7,الشمال,North,"['#كورونا #لبنان', '#كورونا_لبنان #خليك_بالبيت', '#Lebanon #Jordan', 'hiring! VACANCY', 'فيروس #كورونا', '#لبنان #كورونا_لبنان', 'مستشفى رفيق الحريري', '#Covid_19 #Corona']",0.0648502876631317,Positive
2020,3,8,الجنوب,South,"['فيروس كورونا', '#كورونا #لبنان', '#كورونا #كورونا_لبنان', 'Medical Center', '#كورونا_لبنان #خليك_بالبيت', '#كورونا_فايروس #مدينة_صور', '#مدينة_صور #جنوب_لبنان', '#خليك_بالبيت #كورونا_لبنان', '#ما_تستهتر #كورونا', 'healthcare system', 'حالة وفاة', '#خليك_بالبيت #ما_تستهتر']",0.06925393258057674,Positive
2020,4,1,عكار,Akkar,"['first Arab country', 'Lebanon', 'legalise medical marijuana', '#لبنان #كورونا', 'medical marijuana legal', 'medical use in', 'economic']",0.0990849366058024,Positive
