location,lat,long,sentiment
حرف مزيارة,34.335,35.9422,-0.24774305555555554
حريبي,33.195,35.4631,0.013750000000000002
حسانية,33.52,35.4508,0.008701298701298698
حصرايل,34.1589,35.6572,-0.01845238095238095
حصنة,34.1032,35.7764,0.05511363636363638
حقل التينة,33.4039,35.7369,-0.02269240019240019
حقليت,34.4064,36.0194,0.4
حلانة,34.055,35.7031,0.1493185185185185
حلبا,34.5428,36.0797,0.08571428571428573
حلتا,34.2369,35.7808,-0.025
حمادية,33.2883,35.2422,0.32083333333333336
حميص,34.3283,35.9342,-0.0574074074074074
حناوية,33.2211,35.2772,0.0
حنيّة,33.1857,35.2233,0.10238095238095236
حوراتا,34.1875,35.9306,-0.026666666666666665
حولا,33.2092,35.515,0.08567791005291005
حومال,33.8114,35.5583,0.019011753590325014
حي البعل,33.8181,35.8656,0.17500000000000002
حي الجوار,33.8608,35.5156,0.11546980100150617
حي الساحل,33.8558,35.5042,0.45
حي الشامي,34.1183,35.6586,-0.26785714285714285
حي غنوم,33.8636,35.5214,0.4285714285714286
حي مار نهرا,34.1214,35.6603,0.0
حيتلا,34.6031,36.1336,0.10833333333333334
حيطولة,33.5219,35.4744,0.0
حيلانة,34.4283,35.9594,-0.041666666666666664
خالصة,34.6333,36.3128,0.09191919191919191
خعب,34.1272,35.7558,0.11038961038961038
خلة صيدا,33.55,35.4075,-0.11358585858585861
خلدة,33.7872,35.4807,0.03076923076923077
دار السيدة,33.7894,35.4844,0.017928861262194604
دار ياطون,33.7336,35.4794,0.0446969696969697
دبعال,33.2506,35.3489,0.06606511544011545
دبعل,34.4347,36.0764,0.0313265306122449
دبل,33.1197,35.3687,-0.025
ددة,34.3808,35.8006,0.05126009070294786
دردغيا,33.2808,35.3711,-0.05
دريا,34.2147,35.7314,0.04694444444444444
دعل,34.2372,35.7987,0.03492756934423599
دلبتا,34.0091,35.6882,0.0
دميت الجوانية,33.6933,35.5092,0.25
دوق,34.195,35.7464,0.04143518518518518
دوما,34.2033,35.8411,0.04889330163883736
ديالة,34.3294,35.9953,0.0
دير تينا,33.2403,35.325,0.0
دير ماري حنا,34.3925,35.9386,0.047135416666666666
رأس الجديدة,33.8861,35.5733,0.07500000000000001
رامات,34.2183,35.7164,0.2770833333333333
رشاف,33.1453,35.3647,0.11666666666666665
رشعين,34.3992,35.9192,0.016666666666666666
رعشين,34.010999999999996,35.72,0.0
رعيت,33.8297,36.0447,0.1791600529100529
رقلي,33.2269,35.2872,0.21833333333333335
رقلية,33.2269,35.2872,0.007291666666666664
رمادية,33.1989,35.2767,-0.18333333333333335
رمل حمود,33.5778,35.3853,-0.07500000000000001
رومين,33.4636,35.4426,-0.002810846560846577
ريحا,34.1536,36.1897,0.09279513888888889
ريحان,34.0228,35.7061,0.3416666666666667
ریاق، لبنان,33.85,36.0,0.0
زاروب سبات,34.3903,35.9014,0.15
زحلة,33.8497,35.9042,0.1
زغرتا,34.3974,35.8949,-0.3
زقاق البلاط,34.1128,35.665,-0.006388888888888891
زهرية,33.885,35.7075,0.26666666666666666
زيتونة,33.4833,35.3471,0.025694444444444447
س,34.5403,36.1758,0.5
سبرين,34.1106,35.7097,0.03513888888888889
سبلين,33.6222,35.4351,0.0
سجود,33.4336,35.5336,0.0
سرعيتا,34.0819,35.8606,0.3083333333333333
سريفا,33.2814,35.3967,0.0
سطحة,34.0019,36.2144,-0.025
سلعاتا,34.2789,35.6633,0.0
سيدة النجاة,34.2475,36.1222,0.03636363636363637
سيران,34.0994,35.6606,0.01660774410774411
سيسوق,34.4889,36.0522,0.07167789001122334
سيل,33.7842,35.4872,-0.0625
شاتيلا,33.893,35.4726,0.16666666666666666
شاتين,34.1917,35.8869,0.12554421768707483
شان,34.4825,36.1147,0.10061598124098126
شاوية,33.8242,35.5878,-0.025
شبطين,34.2122,35.7503,0.25
شبعا,33.3475,35.7492,0.0
شحاحير,33.8964,35.6994,-0.05
شحين,33.1267,35.2573,0.08148148148148147
شدرا,34.6197,36.3233,0.0
شرتون,33.7481,35.5833,-0.125
شرنية,33.2708,35.2529,0.03097943722943723
شرين,33.9322,35.7308,0.13866666666666666
شعت,34.1422,36.2311,0.06666666666666667
شقدوف,34.5289,36.1897,0.14166666666666666
شقيف,34.0714,35.6542,0.0
شمع,33.1456,35.2086,-0.01953125
شميس,33.6397,35.4642,0.015625
شناتا,34.2581,35.8225,-0.2
شوان,34.078,35.7722,0.0
شوريت,33.7394,35.6333,0.0
شوكين,33.3558,35.4619,0.13333333333333333
شويت,33.8289,35.6092,0.0
شيحين,33.1267,35.2573,0.0
شيخان,34.1742,35.6572,0.02276948051948052
شيرا,34.2725,35.8658,0.2791666666666667
صبوحا,34.2219,36.2747,0.0
صغبين,33.6108,35.6969,0.0
صفارية,33.5553,35.4939,0.0
صفري,33.5553,35.4939,0.0
صلعة,34.2444,35.7206,0.014285714285714287
صنائع,33.8928,35.4902,-0.09090909090909091
صنيا,33.5181,35.5286,0.21666666666666665
صنين,33.9369,35.8417,0.07395833333333332
صور,33.2733,35.1939,0.07746298602462987
صورات,34.1651,35.6816,0.0
صوفر,33.8022,35.6989,0.095
صیدا,33.5599,35.3756,0.003979730708726615
ضقوّن,33.7308,35.5156,-0.05
ضهر الصوان,33.9014,35.6647,-0.05
ضهر الصوانة,33.3456,35.5678,0.0746031746031746
طبرية,34.0161,35.7367,0.0
طرابلس الشام,34.4367,35.8497,0.02310621976063152
طلصا,33.4833,35.3471,0.04358054226475279
طورا,33.2939,35.2978,0.1
ظان,34.2233,35.7558,-0.0625
عاريا,33.8308,35.5894,0.06948538275023543
عاليه,33.8053,35.6,0.10956579472975014
عبد اللي,34.2067,35.7222,0.18
عبي,33.7356,35.5272,0.05
عجلتون,33.9653,35.6828,0.0
عدشيت,33.3478,35.4183,0.1
عرب اللهيب,34.1539,35.8983,-0.06666666666666668
عرسال,34.1794,36.4208,-0.04
عشقوت,33.9881,35.7058,0.5176767676767677
عكار,34.5428,36.0797,0.1875
عكار العتيقة,34.525,36.2417,0.0
عماطور,33.6397,35.6092,-0.026393939393939393
عنان,33.5681,35.5089,-0.037500000000000006
عيات,34.5356,36.1972,0.05000000000000001
عين العدس,33.8022,35.5997,-0.025
عين قاطايا,33.8047,35.6081,0.3571428571428571
عينات,34.1117,35.6625,0.125
غدراس,34.0444,35.6792,0.0
غسانية,33.4195,35.3583,-0.02981363932291666
غندورية,33.6931,35.4217,0.225
غيوطه,34.1681,35.8922,0.10227272727272728
فالوغا,33.8378,35.7408,-0.046825396825396826
فترة,34.0867,35.7083,0.12206439393939394
فتري,34.0867,35.7083,0.12705176767676765
فتقا,34.0341,35.6639,-0.03888888888888889
فراط,34.0867,35.7892,0.038888888888888896
فرجة,34.3514,35.9397,0.0625
فرحت,34.1,35.7625,0.0
فرون,33.2954,35.4287,0.053271604938271606
فريا,34.0161,35.8214,0.26666666666666666
فغال,34.2072,35.6778,0.075
فكية,34.245,36.4042,-0.11499999999999999
فلوة,34.0825,36.0569,0.07500000000000001
فوار,34.0017,36.0992,0.05420014532005535
فوترا,34.2242,35.8003,0.24053987075726213
فيترون,33.9892,35.7278,-0.2
فيسان,34.4761,36.3464,0.0
فيع,34.3484,35.7883,0.07125656565656567
قبيبات,34.2049,35.8277,-0.05
قرحيا,34.4428,36.0789,0.21666666666666665
قرصة,34.0509,35.6856,0.1027777777777778
قنات,34.2533,35.8944,0.0
كحّالة,33.8236,35.5894,0.0
كرم الحنش,33.5559,35.3966,0.1875
كسار اسبر,34.3786,35.9933,0.18421052631578946
كسار فرح,33.86,35.6461,0.0991666666666667
كسارة,33.8122,35.5861,0.45
كفر حيم,33.6889,35.5244,0.0
كفر شخة,34.2058,35.6569,0.022727272727272728
كفر شخي,34.2058,35.6569,-0.05555555555555555
كفربيتي,34.4733,35.9578,-0.0029523809523809516
كلش,34.1192,35.7317,-0.005986644603587964
كور,34.2356,35.7367,0.06818181818181818
لاسا,34.075,35.8583,0.02448765718408575
لاي,33.8533,35.5239,0.11666666666666663
لبعة,33.5489,35.4528,0.06193287037037037
لبليط,33.8,35.6875,0.06666666666666668
لبّايا,33.4822,35.7242,0.0
له,34.2511,36.0447,0.0
لوسي,33.6453,35.8383,0.10700757575757575
ليلكي,33.8331,35.5169,-0.023456790123456795
ليما,33.8731,35.6961,0.09494047619047619
مار متر,33.8899,35.5213,0.12857142857142856
ماريسي,33.8667,35.5333,0.16666666666666666
ماسا,33.8511,36.0667,0.06998181818181819
مجدليا,34.4175,35.8728,0.0
محافظة بيروت,33.8719,35.5097,0.03384883739997377
محرونة,33.2194,35.3436,-0.025
مخيم شاتيلا,33.893,35.4726,-0.03125
مخيم ضبية,33.945,35.5953,0.05073348035612183
مداميت,34.1067,35.6853,0.0
مراح حسان,34.3689,35.9761,0.06294152767989979
مرج حين,34.4092,36.2544,0.037504208754208755
مركبتا,34.4533,35.9641,0.36607142857142855
مروحين,33.1089,35.2758,0.09375
مزرعة بيساري,33.3941,35.2746,0.027915279165279163
مزرعة جعفر,33.47,35.7706,-0.025
مزمورا,33.5967,35.5083,0.1
مزيارة,34.3333,35.9317,0.0375
مسطيطا,34.1075,35.6581,0.0
مشان,34.0838,35.7564,0.0
مشانة,34.0822,35.7467,0.0019047619047619052
مشعرون,33.2239,35.4931,0.09861111111111112
مصيلية,33.2319,35.4625,0.3
مطحنة الدلبة,34.5322,36.0356,0.1263927730061913
معاد,34.195,35.6811,-0.1
معد,34.195,35.6811,-0.03333333333333333
معراب,33.9989,35.6783,0.10714285714285714
معركة,33.2731,35.3086,0.018518518518518517
معلية,33.2039,35.2372,0.0
معنية,33.6309,35.4483,0.17500000000000002
مقنة,34.0797,36.2067,-0.0036738933109900867
مكسة,33.8106,35.8322,0.07611118999238532
مكلس,33.8644,35.5506,0.0
ممنع,34.5014,36.1775,0.04166666666666666
منسي,33.7636,35.5264,0.1875
مهرين,34.1236,35.6767,0.07535934744268076
موتا,34.2367,35.8544,0.0830536034099864
مولد,34.395,35.9758,0.17083333333333334
ميدون,33.4694,35.6408,0.16666666666666666
ميسات,33.2628,35.6194,0.1280145202020202
ميمس,33.42,35.7136,0.017965367965367962
ن,33.7633,35.5869,0.13333333333333333
ناعمة,33.7458,35.4553,0.005000000000000001
ناقورة,33.1181,35.1397,0.0
نبط,33.4893,35.7544,0.0
نبطية التحتا,33.3787,35.4831,0.04545454545454545
نبع العسل,33.8333,35.8167,0.6
نمرين,34.385,36.0497,0.4
نّا,33.9083,35.8778,-0.21041666666666667
هملاية,33.9389,35.7083,0.1157142857142857
هوارة,34.42,36.0728,0.1875
هورة,33.2942,35.5542,0.025333333333333333
وطى حب,34.1908,35.8972,0.3416666666666667
ي,33.9,35.6197,0.0
يارين,33.1067,35.2331,0.037268518518518534
يلون,33.1667,35.4889,-0.1
