section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2
Georges R. Abdallah Photography,5.0,(3),Wedding photographer,Opens at 9:00 AM,Beirut,Closed
Perfect Choice Wedding Cars & Events,5.0,(19),Wedding service,Closed today,Jdeideh,Opens at 9:00 AM
5W's production,4.6,(10),Photography studio,Closed today,,
Queen Flowers Chocolate Decorations,5.0,(6),Wedding planner,Closed today,,
Zaffet Al Sultan,4.8,(8),Event planner,Closed,Zouk Mosbeh,Opens at 10:00 AM
Elien Production,4.9,(7),Wedding photographer,Closed today,,
Polygon Wedding Furniture,5.0,(1),Wedding service,Closed today,Aintoura - Zahlé Rd,
wedding date,5.0,(1),Wedding planner,Closed today,,
Casino du Liban,4.2,"(2,069)",Event venue,Closed,Jounieh,Opens at 10:00 AM
Champagne Wedding Boutique,3.7,(13),Clothing store,Closed today,,Open until 1:00 AM
Olea Venue,4.2,(5),Wedding venue,Opens at 9:00 AM,,Closed
Noiva's,4.3,(50),Bridal shop,Closed today,Baouchriye,Closing soon: 11:00 PM
ROSA CLARÁ,3.7,(3),Wedding store,Closed today,Beirut,Open until 3:00 AM
Beydoun Chairs كراسي بيضون,5.0,(1),Wedding service,Closed today,Haret Hreik,Opens at 9:00 AM
Walid wedding planner,5.0,(4),Wedding planner,Closed,Old Saida Rd,Opens at 9:00 AM
"Esposa Privé, Downtown Beirut",4.9,(95),Bridal shop,Temporarily closed,Beirut,
Al Nada WeDDing,4.8,(5),Clothing store,Opens at 9:00 AM,,Closed today
The villa,4.0,(92),Event venue,Closing soon: 11:30 PM,,Closed today
Batroun Village Club,4.3,(476),Hotel,Opens at 9:00 AM,Batroun,Closed today
Ahmad Chawich Events & wedding planner,4.0,(13),Video production service,Opens at 9:00 AM,,Closed
Royal wedding cards,5.0,(2),Wedding store,Closed today,,Opens at 9:00 AM
Kazma wedding cards,4.5,(16),Wedding store,Closed today,,Opens at 9:00 AM
Villa Paradiso Batroun,4.4,(135),Event venue,,,Closed today
Cartes et Promotion,4.4,(9),Wedding service,Closed today,,
iLens production,5.0,(10),Video production service,Closed today,"Industrial Zone, Street 88, Sector 3 Michel Khoury Bldg Facing La Morena Adonis",Opens at 10:00 AM
Kazma Wedding Cards- Kazma Printing & Trading Co,4.9,(7),Wedding store,Closed today,Beirut,
The Perfect Bride,4.6,(33),Wedding dress rental service,Closed today,,
East Hall Zaidal,4.5,(2),Wedding venue,,,Closed today
Four Seasons Hotel Beirut,4.6,"(1,941)",5-star hotel,Opens at 10:00 AM,Beirut,Closed
George Lteif Photography,4.3,(18),Wedding service,Closed today,"Next to Credit Libanais, Nehme Building Dekouaneh",Open until 1:00 AM
Fairybou,2.0,(1),Bridal shop,Opens at 9:00 AM,,Closed
RABIH EDRIS Haute Couture,4.6,(20),Couture store,Closed today,,Closing soon: 11:00 PM
Palais du Mzar,4.6,(28),Historical landmark,Open until 3:00 AM,Ghazir,Closed today
"Esposa, Ramleh El Bayda",4.9,(156),Bridal shop,Opens at 9:00 AM,Beirut,Closed today
Bella Planta,3.7,(11),Wedding planner,Closed,,Opens at 8:00 AM
Waves Events,4.8,(5),Wedding planner,Closed today,Beirut,
Cleopatra Weddings & Events Venue,5.0,(1),Wedding venue,Opens at 9:00 AM,,Closed today
The Roses Garden,4.3,(8),Wedding venue,Closed today,Aley,Closing soon: 11:30 PM
Al Fares weddings & events,4.8,(5),Wedding venue,Opens at 9:00 AM,,Closed today
Adib Palace,3.7,(427),Restaurant,Closed,Reyfoun Main Road,Open until 12:00 AM
Sibahi Group,5.0,(2),Event planner,Opens at 9:00 AM,,Closed today
Manolia Flowers - Jbeil,5.0,(1),Florist,Closed,Byblos,Opens at 8:00 AM
Viore Wedding &evening Dresses,4.6,(10),Dress store,Closed today,,
Le Jardin Du Royal Restaurant,4.4,(9),Restaurant,Closed today,"Dbayeh, Le Royal Hotel 5th floor Beirut Lebanon",Closing soon: 11:30 PM
Senses Hotel & Resort,3.6,(608),4-star hotel,Opens at 10:00 AM,,Closed today
S.Y wedding dresses,5.0,(2),Clothing store,Closed today,,
KYRA VILLAGE,5.0,(1),Event venue,,"Rayfoun, Main road",Closed today
Bella Bride,4.3,(4),Bridal shop,Closed today,,
Scarbina,5.0,(1),Shoe store,Closed today,,Opens at 10:00 AM
Private wedding,4.3,(18),Wedding planner,Open until 1:00 AM,Michref street 12 Nassim Saray Damour area,Closed today
Imo Designs By Iman Azzam,5.0,(1),Women's clothing store,Closed today,,Opens at 9:00 AM
Marita bridal boutique,5.0,(1),Bridal shop,Closed today,Bikfaiya - Aintoura Rd,Closing soon: 11:00 PM
Lebanon Perfect Wedding,4.6,(28),Advertising agency,Closed today,,Open until 3:00 AM
Blanc De Chêne,4.3,(151),Restaurant,Opens at 9:00 AM,,Closed today
MystiqueRose,4.9,(8),Women's clothing store,Closed today,Koura - Kfaraaka,Opens at 8:00 AM
Georges Hobeika,4.5,(43),Haute couture fashion house,Closed today,Sin El Fil,
BURJ on BAY,4.5,(530),5-star hotel,Opens at 9:00 AM,,Closed today
Zafafek(jalloul Wedding Dress),1.0,(1),Wedding dress rental service,Closing soon: 11:30 PM,Borj Albarajneh,Closed today
Massaya Zaman Restaurant,4.0,(205),Restaurant,Closed today,,Open until 4:30 AM
solinco,5.0,(3),Marketing agency,Open until 12:00 AM,,Closed
STUDIOLIGHT5,4.4,(7),Portrait studio,Closed,,Opens at 12:00 AM
Forum de Beyrouth,4.1,(521),Event venue,Opens at 8:00 AM,,Closed
BAZ Events,5.0,(2),Event planner,Closed today,Beirut,
DAVE LEBANON D.M.C,5.0,(3),Tour agency,Closed today,,Closing soon: 11:30 PM
Technobread,3.6,(608),Bakery,Closed today,,Opens at 10:00 AM
"Ghada Blanco, Events & Weddings",5.0,(2),Event planner,,Jdeideh,Closed today
Matisse Events,5.0,(1),Event planner,Closed today,,
Narciss weddings,4.7,(7),Corporate office,,,Closed today
Kalani - Seascape Resort,4.6,(204),Public beach,Closed,,Opens at 9:30 AM
Seif Al Bahr. Restaurant,4.2,(56),Restaurant,Open until 1:00 AM,Jounieh - Beirut Hwy,Closed today
Pineland Hotel and Health Resort,4.2,(666),4-star hotel,Opens at 9:00 AM,Deir El Harf,Closed today
AURA Headpieces,4.1,(7),Fashion accessories store,Closed today,Beirut,Closing soon: 11:00 PM
Al Tawahin ( Kalaa Weddings),4.5,(66),Wedding venue,Closed,Ain Baal,Opens at 10:00 AM
"Grand Hills, a Luxury Collection Hotel & Spa, Broumana",4.4,(923),5-star hotel,Opens at 9:00 AM,Broummana,Closed today
Jalousie Pastry & Catering,4.2,(14),Wedding service,Closed today,Beirut,Opens at 8:00 AM
OverWhelming Beirut Creative Boutique,4.5,(43),Advertising agency,Closed today,Beirut,
"The Silk Valley - Hamada, Arbanieh",4.7,(11),Resort,Opens at 9:00 AM,,Closed today
Rani Itani Couture,4.6,(22),Dressmaker,Closed today,,Closing soon: 11:30 PM
THYM Studio,5.0,(9),Fashion designer,Closed today,Beirut,Open until 4:30 AM
Weplan-events,5.0,(3),Corporate office,Open until 12:00 AM,,Closed
La Pousse Verte,4.8,(5),Wedding service,Closed,Beirut,Opens at 8:30 AM
Carpet Plus,4.0,(135),Store,Closed today,,Opens at 8:00 AM
Royal wedding cards,5.0,(2),Wedding store,Closed,Damascus,Opens at 9:00 AM
VILLAGE DU CHOCOLAT,4.6,(20),Chocolate artisan,Closed today,,Closing soon: 11:30 PM
ZARA,4.2,(525),Fashion accessories store,Closed,Kaslik,Opens at 10:05 AM
Gefinor Rotana,4.3,(986),5-star hotel,,Beirut,Closed today
Krikor Jabotian,4.8,(6),Fashion designer,,,Closed today
Wide Broadcast,5.0,(5),Photography,Closed today,Beirut,
