section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2,section-result-info 3,section-result-description
Old story vintage furnitures,3.8,(4),Antique furniture store,Closed today,Basta st,Opens at 10:00 AM,71 223 855,
Nano Nerses Shop (Electric Appliances Spare Parts),4.0,(1),Electronics store,Closed today,,Opens at 10:00 AM,01 447 428,
Ayoub Computers,4.5,(88),Computer store,Closed,Hadi Nasrallah Road Al Rabih bldg. Behind Labor Ministry,Opens at 8:30 AM,01 550 500,
BEI-ABC ACHRAFI,4.3,(35),Clothing store,Temporarily closed,Alfred Naccache Street,Opens at 1:00 PM,01 201 953,Designer apparel & fragrance retailer
Football Shop,4.7,(75),Soccer store,Closed today,"Makarem Building, Makdessi Street, Wardieh, Next To Mahfouz Stores",Opens at 8:00 AM,01 739 908,"Shower gels, creams, soaps & more"
gloa concepts,5.0,(5),Health food store,Closed,"jal el dib ,university building ,GF",Opens at 10:00 AM,79 183 983,Supermarket for groceries & more
VALENTINO,2.3,(3),Women's clothing store,Closed,Al Moutrane Street 143 Beirut 1107 2030 Beirut Downtown BEIRUT,Opens at 12:30 PM,01 991 111,High-end designer fashion & accessories
ACT - apparel contemporary,3.2,(5),Clothing store,Closed today,"1330 Park Avenue, Ahmad Shawki",Opens at 10:00 AM,01 993 995,
Grid | Coffee Matrix,4.2,(108),Coffee shop,Closed,Majidiyeh,Opens at 7:00 AM,01 988 903,Iconic Seattle-based coffeehouse chain
PEGASUS Pets Shop,4.3,(138),Pet store,Closed,,Opens at 9:30 AM,01 756 234,
Baydoun Phone Shop,3.7,(33),Cell phone store,Closed today,Ras Al Naba'a,Opens at 10:00 AM,70 522 705,
Skaff Shop,4.5,(17),Curtain store,81 820 902,,Opens at 10:00 AM,Closed,"On-trend casualwear, shoes & accessories"
Class,3.2,(53),Electronics store,Closed today,"Waygand Street, Downtown",Opens at 9:00 AM,01 997 997,
DEPOT-VENTE BEIRUT,4.3,(55),Vintage clothing store,Closed today,,Opens at 3:00 PM,03 200 620,Luxury brand for handbags & more
Lou Shop,4.1,(103),Store,Closed today,Sursock Tower,Opens at 9:00 AM,03 688 543,British luxury apparel & accessories
AFO SHOP,4.0,(2),Electronics store,Closed today,,Opens at 10:00 AM,01 276 765,Luxury Italian-designed fashions
CH Carolina Herrera,2.3,(3),Clothing store,Closed,Souk El Tawileh Beirut Souks، Beirut,Opens at 10:00 AM,01 973 698,Designer apparel & accessories for women
Paramount Butcher Shop,4.5,(11),Butcher shop deli,Closed today,,Opens at 10:00 AM,01 792 193,"Shower gels, creams, soaps & more"
Coffee bean and tea leaf beirut,3.8,(4),Coffee shop,01 757 088,,Closing soon: 11:00 PM,Closed,U.K.-born retailer for apparel & shoes
Sarah's Bag,4.5,(42),Handbags shop,Closed today,"2nd floor, M'hanna building، 100 Rue Du Liban",Closing soon: 11:00 PM,01 575 585,
العاب,3.8,(4),Gun shop,71 223 855,"عبد الرحمان, حوت",Opens at 10:00 AM,Closed today,
Gipsy Shop,4.5,(2),Jewelry store,Closed today,,Open until 5:45 AM,01 350 668,
KADOLEEN Shop,5.0,(1),Children's clothing store,Closed today,"Mar Elias Street, Hiba Building",Opens at 8:30 AM,01 706 807,
KATURA Cosmetics & Beauty Shop,4.3,(33),Beauty supply store,Closed today,Bourj Hammoud Sect.07 Str.02 Bld.012 Beirut,Opens at 1:00 PM,03 842 061,Designer apparel & fragrance retailer
Hermès,4.4,(102),Leather goods store,Closed today,,Opens at 8:00 AM,01 999 710,"Designer clothing, bags & accessories"
Teacher Parent Store,4.7,(3),Gift shop,Closed,,Opens at 10:00 AM,01 999 789,Supermarket for groceries & more
