section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
"University of Balamand, Achrafieh Campus",4.3,(23),University,,Closed today,01 575 700,http://www.balamand.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Gilbert and Rose-Marie Chagoury Health Sciences Center,5.0,(1),Medical school,,Closed today,09 233 183,http://medicine.lau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University of La Sagesse,4.3,(61),University,Furn-El-Chebak Baabda,Closed,01 291 091,http://www.uls.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Al Kafaat - University,3.4,(27),University,,Closed,01 879 304,http://aku.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
American University of Beirut,4.4,(596),University,,Closed today,01 350 000,http://www.aub.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Middle East University,4.4,(45),University,Ferdos Street Sad El Bauchrieh,Closed today,01 685 800,http://meu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Faculty Of Economics,4.8,(5),Faculty of science,Homs‎,Closed today,70 168 286,,,
AOU Antelias,4.8,(5),University,Antelias,,04 404 101,http://aou.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese International University,4.2,(91),Private university,Beirut,Closed today,01 705 080,http://www.liu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
MUC University,4.8,(22),University,Beirut,Closed today,01 555 898,http://www.muc.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
West Hall - American University of Beirut,4.8,(4),University,,,01 350 000,http://www.aub.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Arts, Sciences and Technology University In Lebanon",4.1,(45),University,Beirut,Closed today,01 708 300,http://www.aul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Hawash University,4.3,(3),University,,Closed today,01 300 110,,,
ESA Business School,4.5,(42),University,Beirut,Closed today,01 373 373,https://www.esa.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Science,3.7,(36),University,,Closed today,01 680 248,https://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Arts, Sciences and Technology University in Lebanon, Dekwaneh Campus",4.5,(10),University,"Behind Municipality, Dekwaneh,",Closed today,01 689 306,http://www.aul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Al Hawash Private University,4.3,(16),Private university,,Closed today,+963 31 744 7936,http://hpu.sy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Economical Sciences And Business Administration | Branch 2,3.5,(12),Public university,,Closed today,01 201 766,https://www.ul.edu.lb/faculte/branches.aspx?facultyId=11,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Arab Open University, Lebanon",4.1,(29),University,,Closed today,01 392 139,http://www.aou.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Al Maaref University,4.5,(19),University,Airport Bridge,Closed today,01 820 930,http://mu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Lebanese International University, Mount Lebanon Campus",4.5,(15),University,,Closed today,01 490 543,http://liu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Saint Joseph University - CST campus,4.6,(30),University,,Closed today,01 421 302,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University Faculty Of Agronomy And Veterinary Medicine,3.4,(11),Public university,,Closed today,01 484 131,http://sisol.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Bel horizon 1,3.4,(27),Residential college,,Closed,01 879 304,,,
Lebanese University - Central Administration,5.0,(6),University,Beirut,Closed today,01 612 830,https://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Tourism And Hospitality,5.0,(10),University,,Closed today,01 857 285,https://ul.edu.lb/faculte/branches.aspx?facultyId=18,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Université Saint Joseph - Campus des Sciences Médicales CSM // University Saint Joseph​ - Medical Science Campus,4.7,(23),Medical school,Beirut,Closed today,01 421 000,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty of Architecture,4.7,(6),University,,,04 404 101,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese International University (Block G),4.8,(4),University,,Closed today,01 706 881,http://www.liu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Académie Libanaise des Beaux Arts,4.6,(23),Private university,Beirut,Closed today,01 502 370,http://www.alba.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Islamic University Imam al-Auzā'ī,4.8,(4),Private university,Beirut,,01 350 000,http://ouzai.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Centre Science du Language et de la Communication,4.3,(8),Public university,Beirut,Closed today,70 976 388,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
AUL university,5.0,(1),University,,Closed today,01 689 306,http://aul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
AUB CHSC Gate,3.6,(10),Private university,,Closed today,01 350 000,http://www.aub.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Global University, Doha Campus",4.9,(29),University,Doha Aramoun,Closed today,01 358 058,http://www.gu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Usj -faculty Of Business Administration&managment,3.0,(2),University,,Closed today,01 421 000,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty of Information 2,3.8,(19),University,,Closed today,01 882 023,http://www.fi2.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty of Law,3.8,(5),University,,Closed today,04 712 052,http://droit.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty of Humanities,4.1,(29),University,,Closed today,01 612 830,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
MUBS,5.0,(1),University,,Closed today,01 820 930,http://www.mubs.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
المجمع المهني للمجلس الإستشاري الدنماركي,4.5,(15),Vocational college,,Closed,01 490 543,,,
Lebanese University - Ecole Doctorale,4.6,(30),University,,Closed today,01 421 302,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
La Sagesse University Faculty of Hospitality Management,4.6,(19),University,,Closed today,01 447 444,http://www.shi.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Engineering II,4.6,(42),Public university,,Closed,04 872 205,http://ulfg.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Saint Joseph University - Huvelin,5.0,(6),University,,Closed today,01 421 000,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Arts, Sciences and Technology University in Lebanon (Sin El Fil Campus)",1.0,(1),University,,Closed today,01 857 285,http://aul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University Faculty of Information,1.0,(1),University,,Closed today,01 792 471,https://www.ul.edu.lb/faculte/branches.aspx?facultyId=9,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St Joseph University & Cathedral,5.0,(6),University,,,04 404 101,,,
Healthy Chicken,4.8,(4),Faculty of science,Unnamed Road,Closed,03 751 232,,,
Sagesse university,4.6,(23),Private university,,Closed today,01 294 442,http://uls.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
صيدلية الصحة,4.0,(1),Faculty of pharmacy,Homs‎,,01 350 000,,,
St. Joseph Univesity,4.3,(8),University,,Closed today,70 976 388,,,
University,5.0,(1),University,,Closed today,03 919 678,http://www.balamand.edu.lb/main/Pages/default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
pharmacy st emilie,3.6,(10),Faculty of pharmacy,,Closed today,01 350 000,,,
LAU Lower Gate,3.8,(8),University,,Closed today,01 786 456,http://www.lau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
SUC College,5.0,(2),College,,Closed today,03 327 807,http://www.facebook.com/suctripoli,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
AUCE - Baouchrieh Campus (American University of Culture & Education),4.7,(3),University,Camil Chamoun,Closed today,01 689 492,http://www.auce.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
LAU beirut,4.4,(16),University,,Closed today,01 786 456,http://lau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Shami pharmacy,5.0,(1),Faculty of pharmacy,El Moutanabi,Closed today,01 612 830,,,
Pharmacie Elay,5.0,(1),Faculty of pharmacy,,Closed today,01 820 930,,,
Lu - Unesco - University,3.0,(3),University,,Closed,03 666 690,,,
University of Tourism,4.0,(2),University,,Closed today,01 687 229,http://www.tourisme-lb.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Doctoral School of Literature, Humanities & Social Sciences. Lebanese University",5.0,(1),University,,Closed today,01 489 684,https://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University Faculty Of Pedagogy,4.8,(6),University,,Closed,01 785 651,,,
Lebanese University Faculty of Law,3.5,(4),University,,Closed today,01 421 000,,,
