section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,Unnamed: 7
Catrinas Beirut,4.3,(353),Mexican,"Mar Mikhael main street Beirut, Lebanon",Open until 12:00 AM,Closed,
Hachem restaurant.,3.3,(3),Restaurant,,Opens at 11:00 AM,Closed,
Grotesque,4.4,(25),Bar,El Arz,Open until 12:00 AM,Temporarily closed,
Zein Chicken - دجاج زين,4.0,(197),Restaurant,Bechara El Khoury,Opens at 7:00 AM,Closed,
Falafel Freiha,3.9,(95),Falafel,,Opens at 10:00 AM,Closed,
Onno Bistro,4.8,(4),Restaurant,,Closing soon: 10:30 PM,Temporarily closed,
Bawabat Beirut Restaurant,4.4,(160),Restaurant,,Open until 2:00 AM,Closed,
Abu Said Restaurant,5.0,(1),Restaurant,Maurice Barres,Opens at 6:30 AM,Closed,
La Maison de la Forêt,4.5,(907),Resort,,Open until 12:00 AM,Temporarily closed,
graze delivery center,4.9,(9),Restaurant,Maurice Barres,Open until 12:00 AM,Closed today,
Parlamento - Restaurant,4.1,(104),Restaurant,,Open until 1:00 AM,Closed today,
SAMAKMAK Restaurant,5.0,(5),Restaurant,,Open until 1:00 AM,Temporarily closed,
Duo - Broumana Villa,4.6,(8),Restaurant,,Opens at 7:00 AM,Closed today,
Zarif Restaurant,4.0,(5),Restaurant,,Open until 2:00 AM,Closed today,
Memoires De Chine - Restaurant,5.0,(2),Restaurant,,Opens at 11:00 AM,Closed,
Furn Al Balad - Restaurant,3.8,(6),Restaurant,,Open until 2:00 AM,Temporarily closed,
Cuba Libre - Restaurant,5.0,(1),Restaurant,,Open until 12:00 AM,Closed,
Hardee's,3.4,(16),Fast Food,RAOUCHE AREA/MANARA SECTOR 36 BEIRUT LEBANON,Open until 4:00 AM,Closed,
Babylone - Restaurant,4.2,(344),Restaurant,,Open until 12:00 AM,Closed,
The Bohemian Bar,4.2,(431),Bar,Armenia,Open until 2:00 AM,Closed,
Al Qala'a - Restaurant,3.5,(50),Restaurant,,Opens at 8:00 AM,Closed,
Qrenfle Restaurant,3.3,(3),Restaurant,Rmeil,Opens at 11:00 AM,Closed,
Special Hamra,4.0,(1),Restaurant,"Hamra, Facing Wardieh Station",Open until 12:00 AM,Temporarily closed,
"NANSA: Kitchen Equipments in Lebanon, coffee Machine in Lebanon, Restaurants Equipments in Lebanon",4.3,(3),Restaurant supply store,German School Street Khaldeh - Dohat Alhoss,Opens at 7:00 AM,Closed today,
Al Bakawat - Restaurant,3.7,(9),Restaurant,,Opens at 10:00 AM,Closed,
Ferdinand,4.6,(682),Bar,"Mahatma Gandhi, Hamra",Open until 1:30 AM,Temporarily closed,
Aldiwan restaurant,5.0,(2),Restaurant,Unnamed Road,Open until 2:00 AM,Closed,
Bacharesort Deir El Qamar,4.4,(72),Public swimming pool,,Opens at 9:00 AM,Closed,
Food 66,4.5,(72),Steak,,Open until 12:00 AM,Temporarily closed,
Vesper,4.4,(65),Cocktail bar,,Open until 12:00 AM,Temporarily closed,
InterContinental Phoenicia Beirut,4.6,"(2,545)",5-star hotel,,Open until 1:00 AM,Temporarily closed,
Skyfall Club,4.4,(55),Bar,WHMR+R9,Open until 1:00 AM,Temporarily closed,
NoGarlicNoOnions,5.0,(169),Food and beverage consultant,"Freiha Building, 7th Floor, Facing, Mar Mitr",Opens at 7:00 AM,Closed today,
Kempinski Summerland Hotel & Resort,4.5,"(1,311)",5-star hotel,,Open until 2:00 AM,Closed today,
Broumana Villa,4.4,(394),Food court,Matn,Open until 12:00 AM,Closed,
Le Gargotier - Restaurant,5.0,(1),Restaurant,Dergham et Bakhtanassar,Open until 2:00 AM,Temporarily closed,
Leana Resort & Beach,3.9,(256),Public beach,,Open until 1:30 AM,Closed,
La Perla-اللؤلؤة,3.8,(4),Event venue,Ain Assad,Open until 4:00 AM,Closed,
City Centre Beirut Brought to you by Majid Al Futtaim [Temporarily Closed],4.4,"(9,236)",Shopping mall,,Open until 12:00 AM,Closed,
Four Seasons Hotel Beirut,4.6,"(1,941)",5-star hotel,Minet El Hosn,Open until 2:00 AM,Closed,
Mövenpick Hotel Beirut,4.4,"(2,809)",5-star hotel,,Opens at 8:00 AM,Closed,
Wooden Bakery - Ashrafieh,4.0,(304),Bakery,,Opens at 11:00 AM,Closed,
Cafe de Penelope,4.4,(360),Cafe,,Open until 1:00 AM,Temporarily closed,
Hybrid Café Bar,4.6,(114),Cafe,"Dimitri El Hayek - Central Business Center, Horch Tabet",Closing soon: 11:00 PM,Closed today,
B.Hive,4.6,(315),Coffee shop,Mahatma Ghandi,Open until 1:00 AM,Closed,
"Le Gray, Beirut",4.6,(946),5-star hotel,,Open until 1:30 AM,Temporarily closed,
Raouche Rocks,4.5,"(6,136)",Historical landmark,,Open until 2:00 AM,Closed,
Bossa Nova Beirut Hotel,4.6,(118),4-star hotel,Riverside,Opens at 9:00 AM,Closed,
Saifi Village,4.5,(358),Art center,,Open until 12:00 AM,Temporarily closed,
Lancaster Plaza Beirut,4.3,(915),5-star hotel,General De Gaulle,Open until 12:00 AM,Temporarily closed,
Fast Casual,4.3,(11),Fro-Yo,City Centre,Open until 12:00 AM,Temporarily closed,
Dardachat,4.0,(246),Cafe,,Open until 1:00 AM,Temporarily closed,
Four Points by Sheraton Le Verdun,4.3,(721),4-star hotel,"Verdun, Boulevard, Saeb Salam",Opens at 7:00 AM,Closed today,
Jezzine Waterfall,4.4,(582),Tourist attraction,unnamed,Open until 2:00 AM,Closed today,
Helado,4.7,"(1,192)",Ice Cream,St georges,Open until 2:00 AM,Closed,
Uncle Deek,3.8,(698),Cafe,,Open until 2:00 AM,Temporarily closed,
Lancaster Eden Bay,3.2,(186),5-star hotel,"El Akhtal El Saghir, Ramlet El Baida",Open until 1:30 AM,Closed,
Château Sainte-Andrée,4.7,(84),Winery,,Open until 4:00 AM,Closed,
Le Commodore Hotel,4.0,"(1,100)",5-star hotel,,Open until 12:00 AM,Closed,
Crepaway Batroun,4.3,(493),Diner,,Open until 2:00 AM,Temporarily closed,
Shouf Biosphere Reserve,4.9,(100),Nature preserve,مناطق الحفاظ على الطبيعة,Closing soon: 10:30 PM,Closed,
Mir Amin Palace,4.5,(585),4-star hotel,,Opens at 11:00 AM,Closed,
Moussa Castle,4.4,"(1,665)",Castle,Damour Beit El Dine Road,Opens at 9:00 AM,Closed,
Janna Sur Mer Beach Resort & Hotel,4.1,"(1,043)",Beach pavillion,Damour Sea Road Damour,Closing soon: 11:00 PM,Closed today,
The Spot Choueifat,4.2,"(2,781)",Shopping mall,,Opens at 10:00 AM,Closed,
Pinkberry,3.9,(23),Fro-Yo,Beirut - Saida Hwy,Opens at 10:00 AM,Closed,
Let's Eat,4.0,(77),Cafe,,Open until 2:00 AM,Closed today,
Al Bustan Hotel,4.4,(215),5-star hotel,,Opens at 9:00 AM,Closed,
Urbanista,4.2,(586),Cafe,,Opens at 8:00 AM,Closed,
Hilton Beirut Habtoor Grand,4.4,"(2,151)",5-star hotel,Charles de Gaulle St,Open until 12:00 AM,Temporarily closed,
ABC Mall Achrafieh,4.5,"(6,178)",Shopping mall,"ABC, Alfred Naccache STR, Mar Mitr 2065",Opens at 10:00 AM,Closed,
ABC Verdun,4.4,"(5,724)",Shopping mall,"VERDUN, ABC MALL, LG FL BEIRUT RAS",Opens at 10:00 AM,Closed,
Mounir Salon,4.5,(628),Beauty salon,,Opens at 7:00 AM,Closed today,
"Grand Hills, a Luxury Collection Hotel & Spa, Broumana",4.4,(923),5-star hotel,"Charkieh, Main Road",Open until 2:00 AM,Closed today,
Beirut Souks,4.4,"(5,078)",Shopping mall,,Open until 2:00 AM,Temporarily closed,
M1 Building,4.5,(56),Corporate office,Bab Idriss Bayrut Mount Lebanon Governorate,Open until 2:00 AM,Temporarily closed,
Hotel Albergo,4.5,(228),5-star hotel,Abdel Wahab El Inglizi street,Open until 1:30 AM,Closed,
University Saint-Joseph of Beirut - Campus of Innovation & Physical Education,4.5,(61),University,دمشق Mar Mikhaël BP 17-5208 بيروت,Open until 4:00 AM,Closed,
Barbour,3.8,(19),Clothing store,,Open until 12:00 AM,Closed today,
Aein Al Mrayseh - Mosque,4.5,(192),Mosque,,Open until 2:00 AM,Temporarily closed,
American University of Beirut,4.4,(596),University,,Closing soon: 10:30 PM,Closed,
Hilton Beirut Metropolitan Palace,4.4,(690),5-star hotel,,Opens at 11:00 AM,Temporarily closed,
Al Bustan Hotel,4.4,(479),5-star hotel,Beit Mery,Opens at 9:00 AM,Closed,
Maroun Chedid Cooking Academy,4.3,(47),Cooking school,St Joseph University,Closing soon: 11:00 PM,Closed today,
LeMall Dbayeh,4.3,"(4,588)",Shopping mall,Dbayeh,Opens at 10:00 AM,Closed,
Meatly,4.9,(13),Restaurant,,Open until 12:00 AM,,
Al Halabi Restaurant,4.5,(716),Lebanese,,Open until 12:00 AM,,
ARTS Beirut,4.7,(205),Restaurant,G1 (Rodeo Drive) Building Naccache Seaside Lebanon,Open until 2:00 AM,Temporarily closed,
"Art People Restaurant, Aïshti by the Sea",4.6,(22),Restaurant,Sea Side Rd,Opens at 10:00 AM,Closed,
Babel Restaurants,4.6,"(1,647)",Lebanese,Dbayeh Highway,Open until 12:00 AM,Temporarily closed,
Diwan Beirut,4.5,(222),Lebanese,Highway,Open until 12:00 AM,,
Abou Jihad Restaurant,4.4,(996),Lebanese,"Mar Takla Street, Jal el Dib, Metn",Open until 11:30 PM,,
Bartartine - Dbayeh,4.5,"(1,204)",Restaurant,Dbayeh Internal Road Dbayeh,Open until 12:00 AM,,
Batchig,4.3,(511),Armenian,Kassis street,Open until 1:00 AM,,
Lisas Cuisine,4.8,(21),Restaurant,El Akhawain El Rahbani,Open until 12:00 AM,,
Joz restaurant,4.3,(306),Restaurant,,Open until 1:00 AM,,
Tsunami,4.5,(381),Sushi,,Open until 12:00 AM,,
Amar Seaside,4.1,(507),Restaurant,,Open until 12:00 AM,,
Mhanna,4.4,(861),Lebanese,,Open until 12:00 AM,,
- Restaurant Fouad Khalil - مطعم فؤاد خليل,4.7,(103),Restaurant,,Open until 12:00 AM,,
Public Restaurant,4.3,(212),Restaurant,Sawma Jaber,Open until 3:00 AM,,
Kronfol Restaurant,4.2,(541),Restaurant,"Naqqache,",Open until 2:00 AM,Temporarily closed,
Uptown Beirut,4.3,(764),Lebanese,Main Street,Open until 12:00 AM,,
Le Canoe,4.5,(755),Seafood,Zouq,Closing soon: 11:00 PM,,
Outdoor Restaurant,4.0,(329),Restaurant,,Open until 2:00 AM,,
Merou Seafood,4.5,(163),Restaurant,Armenia Street,Open until 12:00 AM,,
Enab Restaurant,4.2,(979),Lebanese,,Open until 1:00 AM,,
Makan,4.4,(337),Restaurant,Patriarch Arida,Open until 12:00 AM,Temporarily closed,
Mario e Mario,4.4,(400),Italian,,Open until 12:00 AM,Closed,
Restaurant Varouj,4.5,(150),Armenian,,Open until 12:00 AM,Temporarily closed,
Seza Bistro Arménien,4.4,(142),Armenian,,Open until 12:00 AM,,
Badguer Restaurant,4.4,(138),Restaurant,,Open until 11:30 PM,,
Samakati,4.3,(189),Seafood,,Open until 12:00 AM,,
Le Phoenicien,4.5,(201),Restaurant,شارع تابت,Closing soon: 11:00 PM,,
Noy Restaurant,4.5,(122),Restaurant,,Open until 12:00 AM,,
Resto Ghazar,4.7,(242),Armenian,,Open until 11:30 PM,,
El Brimo,4.2,(431),Restaurant,Ashrafieh,Open until 12:00 AM,Temporarily closed,
Basterma Mano,4.6,"(1,132)",Restaurant,,Open until 2:00 AM,,
Mr. Steak,4.4,(34),Restaurant,,Open until 12:00 AM,,
Restaurant Ara,4.4,(23),Restaurant,"Bourj Hammoud ,Arax , facing Karasoun",Open until 12:00 AM,,
Beirut on the roof,4.3,(65),Lebanese,,Open until 12:00 AM,,
Fawzi Burj Al Hamam,4.3,(202),Restaurant,Daoud Ammoun St,Open until 11:30 PM,Temporarily closed,
Margherita Pizzeria,4.4,(554),Pizza,,Open until 12:00 AM,,
Bou Melhem,4.2,"(1,046)",Lebanese,Sin El Fil Dimitri El Hayek Street Sin El Fil,Open until 12:00 AM,,
Abou Hassan Restaurant,4.2,"(1,051)",Restaurant,,Open until 2:00 AM,,
Meatly,4.9,(13),Restaurant,,Open until 12:00 AM,,
Babel Restaurants,4.6,"(1,647)",Lebanese,Dbayeh Highway,Open until 12:00 AM,,
Batchig,4.3,(511),Armenian,Kassis street,Open until 1:00 AM,Temporarily closed,
Bartartine - Dbayeh,4.5,"(1,204)",Restaurant,Dbayeh Internal Road Dbayeh,Open until 12:00 AM,Closed,
Anthony's,4.6,(464),Restaurant,,Open until 12:00 AM,Temporarily closed,
Joz restaurant,4.3,(306),Restaurant,,Open until 1:00 AM,Temporarily closed,
- Restaurant Fouad Khalil - مطعم فؤاد خليل,4.7,(103),Restaurant,,Open until 12:00 AM,,
Couqley French Bistro _ Dbayeh,4.4,(269),French,Coastal Hwy,Open until 2:00 AM,Temporarily closed,
El Sombrero Restaurant,4.5,(44),Restaurant,Rue Adonis,Open until 12:00 AM,,
La Crêperie,4.3,"(1,005)",Restaurant,"Kaslik, Jounieh",Open until 12:00 AM,,
Amassi Restaurant,4.7,(36),Restaurant,"Credit Libanais Bank, Jounieh, Near center La Cité, Facing",Open until 2:30 AM,,
Manuella,4.4,"(2,433)",Restaurant,,Open until 2:00 AM,Temporarily closed,
Keif,4.0,(325),Restaurant,Antelias,Open until 12:00 AM,,
To-Gather Cafe-Restaurant,3.9,(123),Restaurant,"road, Dbayeh, main",Open until 12:00 AM,,
New York City Pizzeria,4.5,(257),Restaurant,Sea Side Rd,Open until 12:00 AM,,
Aal Shatt,4.8,(36),Restaurant,Sea Side Rd,Open until 12:00 AM,,
Link Restaurant,4.4,(23),Restaurant,,Open until 2:00 AM,Temporarily closed,
La Martingale Restaurant,4.7,(57),Fine Dining,Casino du Liban Tabarja Highway,Open until 1:00 AM,,
Amar Harissa - قمر,4.3,(728),Lebanese,,Open until 12:00 AM,Temporarily closed,
L' ancre,4.4,(109),Restaurant,,Open until 12:00 AM,,
Leila Min Lebnen,4.2,(135),Restaurant,Dbayeh ABC,Open until 12:00 AM,,
Sailor’s resthouse,4.8,(16),Restaurant,mina,Open until 1:00 AM,,
Chayeb Bakery,4.8,(37),Restaurant,Kfarhbab Main Road,Closing soon: 11:00 PM,Temporarily closed,
Al Baladi Restaurant,4.3,(272),Restaurant,,Open until 2:00 AM,Closed,
Beit Youssef restaurant,4.4,(304),Restaurant,شارع مار يوسف,Open until 12:00 AM,Temporarily closed,
Outdoor Restaurant,4.0,(329),Restaurant,,Open until 2:00 AM,Temporarily closed,
Al Maida,4.4,(126),Lebanese,,Open until 12:00 AM,,
Marco's,4.5,(83),Restaurant,,Open until 1:00 AM,Temporarily closed,
restaurant kamel al awsaf,4.8,(17),Restaurant,,Open until 5:00 AM,,
Olio & Soto - Zouk Mikayel,4.3,(191),Restaurant,Espace 2000 Street,Open until 12:00 AM,,
Set Zmorrod Dbayeh,4.2,(50),Restaurant,"Blueberry Square, Sea Side Rd",Open until 2:00 AM,,
Tsunami,4.3,(147),Sushi,,Open until 1:00 AM,Temporarily closed,
Al Saniour Seaview,4.3,"(1,756)",Restaurant,Facing Platea,Open until 2:00 AM,,
Mon General - Restaurant,4.2,(95),Restaurant,,Open until 1:00 AM,,
Frulatte,4.3,(280),Restaurant,Jeita - main road,Open until 12:30 AM,,
Babel Bahr,4.6,"(1,315)",Seafood,,Open until 11:30 PM,,
Chez Rachid Seafood Restaurant,4.4,(196),Restaurant,,Open until 2:00 AM,Temporarily closed,
Cockney Restaurant,4.3,(48),Restaurant,Rayfoun blvd Fouad Chehab,Open until 1:00 AM,,
Blue Ivy,4.2,(147),Restaurant,,Open until 12:00 AM,Temporarily closed,
Fouad Khalil restaurant,4.5,(224),Lebanese,Unnamed Road,Open until 1:00 AM,,
Amir palace restaurant,4.1,(24),Restaurant,,Open until 12:00 AM,,
Adonai Le Petit Libanais,4.2,(192),Lebanese,"Unesco Square, Next to Wax Museum.",Open until 1:00 AM,,
Mon Marchal - Restaurant,4.4,(94),Restaurant,,Open until 12:00 AM,Temporarily closed,
Al Jabal Restaurant,4.2,(186),Restaurant,,Open until 3:00 AM,Closed,
Ni Caffe,3.8,(38),Restaurant,ABC Mall,Open until 12:00 AM,Temporarily closed,
Manarat Al Khalij - Restaurant,4.2,(529),Lebanese,,Open until 12:30 AM,Temporarily closed,
Al Halabi Restaurant,4.5,(716),Lebanese,,Open until 12:00 AM,,
Rabaat Zeina ربعة زينة,4.1,(100),Restaurant,Round about,Open until 2:00 AM,Temporarily closed,
Falafel Abou André,4.2,(393),Lebanese,Jounieh - Maameltein Highway,Open until 1:00 AM,,
Simar Al Bahr - ثمار البحر,4.3,(705),Seafood,,Open until 12:00 AM,,
Kabablaki,4.4,(52),Fast Food,"St. Georges Street, Near Nasr Market",Open until 12:00 AM,,
Le Jardin Du Royal Restaurant,4.0,(375),Restaurant,"Dbayeh, Le Royal Hotel 5th floor Beirut Lebanon",Open until 11:30 PM,Temporarily closed,
Al Maasara - Restaurant,3.9,(115),Restaurant,,Open until 12:55 AM,,
Lancelot Piano Bar And Restaurant سيف البحر,4.1,(53),Restaurant,,Open until 1:00 AM,,
Chopsticks,4.2,(182),Restaurant,,Open until 12:00 AM,,
Saki saki,4.0,(55),Sushi,facing center versaille,Open until 12:00 AM,,
Gmayel Restaurant,4.4,(46),Restaurant,,Open until 12:00 AM,Temporarily closed,
Adghal - Restaurant,3.9,(272),Restaurant,,Open until 12:00 AM,,
Al Montazah - Restaurant,4.2,(536),Restaurant,,Open until 12:30 AM,Temporarily closed,
AL MIDANE AJALTOUN,4.1,(18),Restaurant,,Open until 1:00 AM,,
Al Kazzi - Restaurant,4.2,(77),Restaurant,,Open until 12:00 AM,,
Titanic Restaurant & Bar,4.3,(3),Restaurant,Dbayeh- Le Royal Hotel 4th floor Beirut Lebanon,Open until 3:00 AM,,
Full descriptions Restaurant,4.2,(21),Restaurant,,Open until 4:30 AM,Temporarily closed,
Le Royal Hotel Beirut,4.4,"(1,695)",5-star hotel,,Open until 3:00 AM,Closed,
Fadel-Restaurant,5.0,(1),Restaurant,,Open until 12:00 AM,Temporarily closed,
The View Restaurant and Bar,4.0,(1),Restaurant,,Open until 1:00 AM,Temporarily closed,
Arasya Restaurant,4.2,(10),Restaurant,Jbail - Aannaya Rd,Open until 12:00 AM,,
Kasser El Sanawbar,4.3,(164),Lebanese,Dlebta,Open until 12:00 AM,Temporarily closed,
Arzal Sannine Restaurant,3.7,(3),Restaurant,,Open until 1:00 AM,,
Diwan Shahrayar restaurant,4.0,(1),Restaurant,"Dbayeh, Le Royal Hotel 1st floor Beirut Lebanon",Open until 3:00 AM,,
Bistro rue 2,4.5,(4),Restaurant,,Open until 1:00 AM,,
Chez Michael - Restaurant,4.5,(42),Restaurant,,Open until 11:30 PM,Temporarily closed,
Istirahat Innaya - Restaurant,4.2,(71),Restaurant,,Open until 12:00 AM,,
Jouzour Restaurant,5.0,(2),Restaurant,Zouq Mosbeh - Aajaltoun Rd,Open until 12:00 AM,,
AZRAK SEA FOOD RESTAURANT,4.1,(8),Restaurant,Unnamed Road,Open until 12:00 AM,,
Restaurant and fishery Asmak,4.7,(23),Restaurant,,Opens at 7:00 AM,Closed,
Terrasol Restaurant,4.9,(7),Restaurant,"Kaslik, ATCL Seaside Road Keserwan, Al Kaslik",Open until 1:00 AM,Temporarily closed,
Al mehbaj Restaurant,3.8,(18),Restaurant,Tourzaiyya 500 m after ma7bassit st Charbel Jbeil,Open until 1:00 AM,,
Windmill Playground,4.1,(123),Restaurant,,Opens at 10:00 AM,Closed,
Mauve Restaurant & Bar,4.2,(31),Restaurant,Sea Side Rd,Open until 1:00 AM,,
Pizzanini - Jounieh,4.4,(40),Pizza,Jounieh - Beirut Hwy,Open until 12:00 AM,,
al zouwar restaurant,3.9,(71),Restaurant,,Opens at 8:00 AM,Closed,
La dorada,2.5,(2),Oyster Bar,,Open until 2:00 AM,Temporarily closed,
Taj El Omara El Zahaby - Restaurant,3.8,(58),Restaurant,,Open until 3:00 AM,Closed,
Casper & Gambini's ABC Dbayeh,4.2,(60),Restaurant,,Opens at 10:00 AM,Closed,
Rosy Restaurant,4.5,(59),Restaurant,amez street,Opens at 7:00 AM,Closed,
Al NAHR RESTAURANT,4.3,(131),Restaurant,Al nahr,Opens at 12:00 PM,Closed,
WakedKorbs Restaurant (it's not a restaurant),4.3,(164),Restaurant,,Open until 12:00 AM,Temporarily closed,
Al Oustoura - Restaurant,3.7,(34),Restaurant,,Closing soon: 11:00 PM,,
Mauve Restaurant,4.0,(1),Restaurant,Jounieh Atcl Near Military Officers Club Joünié 21321,Open until 1:00 AM,,
Restaurant Acaf,4.5,(67),Restaurant,,Open until 1:00 AM,,
Babel,4.5,(760),Restaurant,,Open until 12:00 AM,Temporarily closed,
Samket Aamchit,4.7,(38),Restaurant,,Opens at 7:00 AM,Closed,
El Mtoll Restaurant,5.0,(2),Restaurant,"Street 7, Saint Elias El Mtoul Road",Open until 1:00 AM,,
Al-Chwar Restaurant,4.1,(40),Restaurant,Opposite Water Gate,Open until 12:00 AM,,
Copacabana restaurant,4.3,(6),Restaurant,,Open until 11:45 PM,Closed,
La Galere Restaurant,5.0,(6),Restaurant,,Open until 12:30 AM,Temporarily closed,
Cocteau Restaurant,4.5,(213),Restaurant,,Closing soon: 11:00 PM,,
Chidiac restaurant,4.5,(17),Restaurant,,Opens at 10:00 AM,Closed,
Al Mada Restaurant,4.3,(6),Restaurant,"Hrajel, Main Road",Closing soon: 11:00 PM,,
Em Sherif Cafe,4.5,"(1,143)",Lebanese,,Open until 3:00 AM,,
McDonald's,4.0,"(1,647)",Fast Food,"Jounieh - Beirut Highway, Lebanon",Open until 2:00 AM,Closed,
Lily's,4.4,(313),Restaurant,François Al Hajj Street,Open until 11:30 PM,Temporarily closed,
Al Aziz Restaurant,4.0,(14),Restaurant,,Open until 3:00 AM,Closed,
Gavi,4.4,(351),Italian,,Open until 11:30 PM,Closed,
Amarilla Restaurant Club,4.2,(239),Restaurant,Sea Side Rd,Open until 2:00 AM,Closed,
Abou George - Restaurant,4.0,(10),Restaurant,,Opens at 12:00 PM,Closed,
Breakfast - Restaurant,4.0,(13),Restaurant,,Open until 12:00 AM,Temporarily closed,
Darseen Restaurant,5.0,(1),Restaurant,Solemar Sea Road Kaslik,Closing soon: 11:00 PM,Closed today,
Seif Al Bahr. Restaurant,4.2,(56),Restaurant,Jounieh - Beirut Hwy,Open until 1:00 AM,,
Le bon point achkout - RORO's Restaurant,4.3,(29),Restaurant,,Open until 1:00 AM,,
Restaurant Youssef Salame,4.5,(760),Restaurant,Unnamed Road,Open until 12:00 AM,Temporarily closed,
Pzza.Co,4.5,(78),Restaurant,,Open until 12:00 AM,Closed,
La Genoise - Patisserie-Restaurant,4.4,(17),Restaurant,,Open until 1:00 AM,,
Grand Manitou,3.6,(45),Restaurant,,Open until 2:00 AM,,
Sahara - Restaurant or Sahara garden,4.1,(46),Restaurant,,Open until 11:45 PM,Closed,
Zad Al Kheir - Restaurant,4.1,(134),Restaurant,,Opens at 11:00 PM,Closed,
Blueberry Square,4.2,(222),Restaurant,,Open until 3:00 AM,,
La Girafe - Restaurant,4.2,(36),Restaurant,,Opens at 10:00 AM,Closed,
Nahawand,3.3,(56),Restaurant,Antelias Rd,Open until 4:00 AM,,
La Girafe Resto,4.2,(127),Restaurant,,Opens at 8:00 AM,Closed,
Skirt,4.3,(147),Restaurant,Abdel Hamid Ghandour Street,Closing soon: 11:00 PM,Closed,
Al Darge - Restaurant,3.9,(56),Restaurant,,Open until 11:30 PM,Temporarily closed,
Alberto - Restaurant,3.0,(2),Restaurant,,Open until 3:00 AM,Closed,
Maria's Restaurant,4.1,(79),Restaurant,,Opens at 8:00 AM,Closed,
Carma Restaurant,3.6,(14),Restaurant,Unnamed Road,Open until 2:00 AM,Closed,
Seray,4.5,(456),Restaurant,"Palladium Building, Minet El Hosn",Open until 4:00 AM,Closed,
Qamar Restaurant,4.2,(11),Restaurant,,Open until 12:00 AM,Temporarily closed,
La Petite Maison,4.4,(168),French,Down Town، Rafic Salloum,Open until 11:30 PM,Closed today,
Nara W Fekhara Restaurant,4.2,(135),Lebanese,,Open until 1:00 AM,,
Karamna Lebanese Restaurant كرمنا,4.4,(266),Restaurant,Ain Al Mraiseh,Open until 1:00 AM,,
Balthus,4.5,(65),Restaurant,,Open until 11:30 PM,Temporarily closed,
Habbet Misk Restaurant,3.9,(7),Lebanese,,Open until 1:00 AM,Closed,
Machrou3 café,4.3,(70),Restaurant,Unnamed Road,Open until 1:00 AM,Closed today,
Osaka Sushi Lounge,4.5,(290),Japanese,Kantari,Open until 11:30 PM,,
Indigo on the Roof,4.4,(82),Restaurant,Le Gray Hotel Martyrs Square,Open until 11:30 PM,Closed,
"Al Ain Restaurant, Abou Mizan",4.0,(35),Restaurant,Himlaya,Opens at 11:00 PM,Closed,
Restaurant Zahret Sannine,3.5,(30),Restaurant,Sannine Zahleh road,Open until 1:00 AM,,
Pink Lemonade Restaurant,3.9,(14),Restaurant,"Ballouneh, roundpoint",Opens at 10:00 AM,Closed,
Kahweit zaytouna,4.4,(559),Restaurant,Beirut Central District,Open until 12:00 AM,,
Restaurant UMMI,4.3,(308),Lebanese,,Open until 12:00 AM,Closed,
Hawaii - Restaurant,4.1,(122),Restaurant,,Closing soon: 11:00 PM,Closed,
Kalaat El Roumeye - Restaurant,4.0,(116),Restaurant,,Closing soon: 10:30 PM,Temporarily closed,
Habaq Restaurant,4.3,(3),Restaurant,,Open until 3:00 AM,Closed,
Kampaï,4.5,(790),Sushi,Palladium Building,Open until 11:30 PM,Closed,
Sfeir - Restaurant,3.7,(28),Restaurant,,Open until 2:00 AM,Closed,
al hindi,4.2,(338),Indian,,Open until 12:00 AM,Closed,
L'Avenue Du Parc,4.5,(441),French,Ahmad Chawki Street,Open until 12:00 AM,Temporarily closed,
Bartartine Bake & Brew- ABC Dbayeh,4.8,(9),Restaurant,ABC DBAYEH,Opens at 10:00 AM,Closed,
Restaurant Joseph Mhanna,4.1,(33),Restaurant,Kfardebian - Aayoun El Siman Rd,Open until 1:00 AM,,
BRGR Co.,4.2,(128),Restaurant,Patriarch Howayek,Open until 12:00 AM,,
Loris Restaurant,4.5,"(1,409)",Lebanese,Pasteur street,Open until 1:30 AM,Temporarily closed,
Momento Restaurant,4.1,(69),Restaurant,https://www.zomato.com/beirut/momento-dbayeh-metn/maps Road,Open until 1:00 AM,Closed,
Kaser El Roumeye - Restaurant,3.9,(70),Restaurant,,Open until 1:00 AM,Closed today,
Green Shell Restaurant - Bentael Nature Reserve,4.4,(25),Restaurant,,Open until 11:30 PM,,
Brassica Restaurant,4.4,(167),Restaurant,,Open until 12:00 AM,Closed,
Z Star Burger,4.1,(7),Restaurant,,Opens at 11:00 PM,Closed,
Terasse - Restaurant,4.3,(12),Restaurant,,Open until 1:00 AM,,
Duo - Restaurant,4.0,(38),Restaurant,,Open until 12:30 AM,Closed,
Leila Restaurant Zaitunay Bay مطعم ليلى,4.4,(514),Lebanese,Zaitunay Bay,Open until 12:00 AM,,
Al Ghar - Restaurant,4.1,(39),Restaurant,,Open until 12:00 AM,Closed,
Diwan El Roumeye - Restaurant,4.1,(36),Restaurant,,Closing soon: 11:00 PM,Closed,
Jean Chemaly Restaurant,4.0,(116),Restaurant,Unnamed Road,Closing soon: 10:30 PM,Temporarily closed,
Nahr El Janna Restaurant,4.0,(6),Restaurant,"Dbaye , Nahr el kalb , next to rio lento",Open until 3:00 AM,Closed,
Roadster Diner,4.3,(408),Restaurant,Zaytounay Bay,Open until 1:00 AM,Closed,
