section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,Unnamed: 7
Tallet Abou Zeid,4.3,-414,Lebanese,Zahlé,Open until 1:00 AM,,
O Bois Restaurant,4.3,-188,Restaurant,,Open until 1:00 AM,,
Makan,4.4,-337,Restaurant,Beirut,Open until 12:00 AM,Temporarily closed,
Beit Youssef restaurant,4.4,-304,Restaurant,Harissa,Open until 12:00 AM,,
Murray,4.3,-622,Restaurant,Antelias,Open until 3:00 AM,,
Lala Chicken 1967,4.1,-120,Chicken,,Closing soon: 11:00 PM,,
Café Libanais,4.1,-185,Restaurant,,Open until 12:00 AM,Temporarily closed,
El Brimo,4.2,-431,Restaurant,Beirut,Open until 12:00 AM,Temporarily closed,
Skirt,4.3,-147,Restaurant,Beirut,Closing soon: 11:00 PM,,
Seray,4.5,-456,Restaurant,Beirut,Open until 4:00 AM,,
Sahebna,4.0,-208,Lebanese,Baouchriyeh,Closing soon: 11:00 PM,,
Al Zahraa Shawarma,3.5,-93,Lebanese,,Opens at 8:00 AM,Closed,
"Nour (Նուռ), Fine Armenian Cuisine",4.6,-157,Restaurant,Beirut,Open until 12:00 AM,,
CHOPSTICKS,4.0,-432,Chinese,,Open until 12:00 AM,Temporarily closed,
بيروتي عتيق / Beiruti Atik,4.0,-107,Restaurant,Beirut,Open until 12:00 AM,,
Al Saniour Seaview,4.3,"-1,756",Restaurant,Sahel Aalma,Open until 2:00 AM,Closed today,
Al Fanar Restaurant & Auberge,4.1,-345,Lebanese,,Open until 4:30 AM,,
Brassica Restaurant,4.4,-167,Restaurant,,Open until 12:00 AM,,
Paramount lebanese kitchen,4.5,"-1,204",Restaurant,,Open until 12:00 AM,Temporarily closed,
Barbar احلى شاورما ومناقيش,4.1,"-3,534",Restaurant,Beirut,Open until 1:00 AM,Closed,
Al-Karam Restaurant,4.2,-23,Lebanese,,Open until 1:00 AM,,
L'AVO,4.6,-132,Restaurant,Beirut,Open until 11:30 PM,,
Casino Nmeir,4.2,-113,Lebanese,Zahlé,Open until 2:00 AM,Temporarily closed,
Dunya Restaurant,4.2,-274,Lebanese,,Open until 12:00 AM,,
ASH by Eddy Diab,4.5,-132,Restaurant,,Open until 12:30 AM,,
Stove Restaurant & Terrace,4.5,-113,French,,Open until 12:00 AM,,
"Bartartine - The Backyard, Hazmieh",4.4,-358,Restaurant,"Hazmieh, Baabda district",Closing soon: 11:00 PM,Temporarily closed,
Appetito Trattoria Hamra,4.4,-366,Italian,,Open until 12:00 AM,Temporarily closed,
Fadel Restaurant,4.3,-181,Restaurant,Bikfaiya,Closing soon: 11:00 PM,,
Couqley French Bistro _ Dbayeh,4.4,-269,French,Beirut,Open until 4:00 AM,Temporarily closed,
Osaka Sushi Lounge,4.5,-290,Japanese,Beirut,Open until 11:30 PM,,
Chopsticks,4.2,-559,Restaurant,,Open until 12:00 AM,Closed,
Gavi,4.4,-351,Italian,,Open until 11:30 PM,,
BeBabel Restaurant,4.5,-398,Restaurant,Beirut,Open until 12:00 AM,Temporarily closed,
- Restaurant Fouad Khalil - مطعم فؤاد خليل,4.7,-103,Restaurant,,Open until 12:00 AM,,
Resto Ghazar,4.7,-242,Armenian,,Open until 11:30 PM,Closed today,
Le Phoenicien,4.5,-201,Restaurant,Beirut,Closing soon: 11:00 PM,,
Dawood Basha,4.2,-139,Restaurant,,Open until 12:00 AM,,
Boubouffe,4.1,-503,Brasserie,,Closing soon: 11:00 PM,Temporarily closed,
MÉTROPOLE,4.4,-507,Brasserie,Beirut,Open until 11:30 PM,Closed,
The Beirut Cellar,4.3,-151,Restaurant,Beirut,Open until 12:00 AM,,
Rossini Osteria e Caffè - Phoenicia Hotel,4.3,-47,Italian,Beirut,Open until 12:00 AM,,
Mum & I,4.2,-120,Lebanese,Beirut,Open until 2:00 AM,Closed today,
Massaya,4.2,-230,Restaurant,,Open until 12:00 AM,,
Punta Del Este,4.3,-515,Restaurant,Jounieh,Open until 1:00 AM,,
Little China,4.2,-411,Chinese,,Closing soon: 11:00 PM,,
Kronfol Restaurant,4.2,-541,Restaurant,"Naqqache,",Open until 2:00 AM,Temporarily closed,
"Bartartine - Dunes, Verdun",4.4,-140,Restaurant,Beirut,Closing soon: 11:00 PM,Temporarily closed,
Zaituna Bay,4.5,"-8,686",Restaurant,Beirut,Open until 12:00 AM,,
HOLLYFOOD American Restaurant,4.1,-42,Restaurant,,Open until 1:30 AM,Temporarily closed,
Amaleen Cafe & Restaurant,4.5,"-1,693",Restaurant,Zahlé,Open until 2:00 AM,,
