date,year,month,day,new_cases,new_deaths,local,travelers,prev_cases,prev_deaths,total_cases,total_deaths,month_avg_ratio,cumulative_avg_ratio,diff_avg_ratio,simple_ratio
3/21/2020,2020,3,21,17,0,1,0,48,2,241,11,-0.571875,-0.7215558795627763,0.43841275587276496,0.13169182913298463
3/22/2020,2020,3,22,17,1,1,0,17,0,258,12,-0.571875,-0.6242362947781328,-0.11173670901956978,0.47242035187826914
3/23/2020,2020,3,23,39,3,1,0,17,1,297,15,-0.01783088235294117,-0.15598375574506762,-0.4413464756548375,-0.4609897947986393
3/24/2020,2020,3,24,30,3,1,0,39,3,327,18,-0.24448529411764708,-0.33124323986228676,0.009339458029748796,0.8782508504334466
3/25/2020,2020,3,25,35,0,1,0,30,3,362,18,-0.1185661764705882,-0.5572856124748036,-0.17777926458505275,-0.5073704232049453
3/26/2020,2020,3,26,23,1,1,0,35,0,385,19,-0.4207720588235294,-0.6256083638534653,0.047625180194621614,0.2915359010936757
3/27/2020,2020,3,27,21,0,1,0,23,1,406,19,-0.471139705882353,-0.7468248246912984,-0.0860244603446017,0.42654386073724904
3/28/2020,2020,3,28,28,2,1,0,21,0,434,21,-0.29485294117647054,-0.4935743780356937,-0.20366490992738573,-0.4508440323347599
3/29/2020,2020,3,29,9,0,1,0,28,2,443,21,-0.7733455882352942,-0.8941431692548922,0.13652882710046152,0.11441987636709464
3/30/2020,2020,3,30,16,0,1,0,9,0,459,21,-0.5970588235294119,-0.8128661388399243,-0.19776126399752597,-0.3519228483119353
3/31/2020,2020,3,31,17,1,1,0,16,0,476,22,-0.571875,-0.7093311403713881,-0.12399380247394524,-0.5517048474168554
4/1/2020,2020,4,1,16,0,1,0,17,1,492,22,-0.24448529411764708,-0.815148259097974,-0.09918519739119541,0.441386254929932
4/2/2020,2020,4,2,15,4,1,0,16,0,507,26,-0.29170496323529416,-0.487077436395007,-0.09889337320991896,0.43944662387066097
4/3/2020,2020,4,3,14,1,1,0,15,4,521,27,-0.33892463235294124,-0.7510531485922913,-0.09860410888988179,0.5691432873672532
4/4/2020,2020,4,4,12,0,1,0,14,1,533,27,-0.4333639705882353,-0.8613611943234805,-0.08489803277199781,0.39705183071802186
4/5/2020,2020,4,5,7,1,1,0,12,0,540,28,-0.6694623161764706,-0.8279036812545733,-0.043515409644567224,0.25259549849421464
