date,year,month,day,new_cases,new_deaths,prev_cases,prev_deaths,total_cases,total_deaths,month_avg_ratio,cumulative_avg_ratio,diff_avg_ratio,simple_ratio
4/18/2020,2020,4,18,1,0,4,1,674,25,-0.9578853046594982,-0.9857507629014759,0.16270973931256133,0.07683798428844268
4/19/2020,2020,4,19,4,0,1,0,678,25,-0.8315412186379928,-0.9422496882648651,0.07410127507805174,-0.1990217006161904
4/20/2020,2020,4,20,0,0,4,0,678,25,-1.0,-1.0,0.1780953552074827,-0.06109185816387386
4/21/2020,2020,4,21,5,1,0,0,683,26,-0.7894265232974911,-0.8701601891431432,0.04363528614191603,-0.06109185816387386
4/22/2020,2020,4,22,6,1,5,1,689,27,-0.7473118279569892,-0.8533970364780388,0.10356896369017275,0.030861370137670485
4/23/2020,2020,4,23,8,0,6,1,697,27,-0.6630824372759856,-0.881288333506965,0.08803545977718405,-0.4748813855208235
4/24/2020,2020,4,24,8,0,8,0,705,27,-0.6630824372759856,-0.8805396201088707,0.118641158855052,0.4906275116453923
4/25/2020,2020,4,25,3,0,8,0,708,27,-0.8736559139784946,-0.954609584692348,0.1974435958307953,0.14580290551460096
4/26/2020,2020,4,26,3,0,3,0,711,27,-0.8736559139784946,-0.9540218141463883,0.118641158855052,0.4906275116453923
4/27/2020,2020,4,27,7,0,3,0,718,27,-0.7051971326164874,-0.8919628766378238,0.05429729583053003,-0.2975430166535593
4/28/2020,2020,4,28,4,0,7,0,722,27,-0.8315412186379928,-0.9375833012924866,0.16718835966549694,0.2541763531557068
4/29/2020,2020,4,29,4,0,4,0,726,27,-0.8315412186379928,-0.9369096079812326,0.118641158855052,0.4906275116453923
4/30/2020,2020,4,30,4,0,4,0,730,27,-0.8315412186379928,-0.936243297610376,0.118641158855052,0.4906275116453923
5/1/2020,2020,5,1,4,0,4,0,734,27,-0.9157706093189965,-0.9355842494778939,0.118641158855052,0.4906275116453923
5/2/2020,2020,5,2,4,0,4,0,738,27,-0.9157706093189965,-0.9349323454986093,0.118641158855052,0.4906275116453923
5/3/2020,2020,5,3,3,0,4,0,741,27,-0.9368279569892473,-0.950649091942483,0.13600425507987016,0.35269766919307577
5/4/2020,2020,5,4,2,0,3,0,743,27,-0.9578853046594982,-0.9666908039706412,0.13622016402656395,0.30672105504230357
5/5/2020,2020,5,5,8,0,2,0,751,27,-0.8315412186379928,-0.8662150907099133,0.011878300507352738,-0.1990217006161904
5/6/2020,2020,5,6,34,0,8,0,785,27,-0.28405017921146947,-0.4480413841956208,-0.34365764941137683,-0.19090818047193647
5/7/2020,2020,5,7,11,0,34,0,796,27,-0.7683691756272402,-0.8213406196996508,0.5079835696907615,0.11740558500971227
