date,year,month,day,new_cases,new_deaths,prev_cases,prev_deaths,total_cases,total_deaths,sentiment_ratio1,sentiment_ratio2,sentiment_ratio3,sentiment_ratio4
4/29/2020,2020,4,29,4,0,4,0,726,27,0.25,0.3415977961432507,0.0,0.5
4/30/2020,2020,4,30,4,0,4,0,730,27,0.25,0.3452054794520548,0.0,0.5
5/1/2020,2020,5,1,4,0,4,0,734,27,0.125,0.34877384196185285,0.0,0.5
5/2/2020,2020,5,2,4,0,4,0,738,27,0.125,0.3523035230352303,0.0,0.5
5/3/2020,2020,5,3,3,0,4,0,741,27,0.09375,0.26720647773279355,0.17095115681233933,0.375
5/4/2020,2020,5,4,2,0,3,0,743,27,0.0625,0.180349932705249,0.17307692307692307,0.3333333333333333
5/5/2020,2020,5,5,8,0,2,0,751,27,0.25,0.7243675099866844,-1.051150895140665,-0.125
5/6/2020,2020,5,6,34,0,8,0,785,27,1.0625,2.988535031847134,-4.551637279596977,-0.11764705882352941
5/7/2020,2020,5,7,11,0,34,0,796,27,0.34375,0.9673366834170853,3.8333333333333335,0.16176470588235295
5/8/2020,2020,5,8,14,0,11,0,810,27,0.4375,1.2271604938271605,-0.48094170403587444,-0.39285714285714285
5/9/2020,2020,5,9,36,0,14,0,846,27,1.125,3.0638297872340425,-3.552338530066815,-0.19444444444444445
5/10/2020,2020,5,10,12,0,36,0,858,27,0.375,1.020979020979021,3.745222929936306,0.16666666666666666
5/11/2020,2020,5,11,11,0,12,0,869,27,0.34375,0.9367088607594937,0.1505050505050505,0.4583333333333333
5/12/2020,2020,5,12,8,0,11,0,877,27,0.25,0.6841505131128849,0.4566532258064516,0.36363636363636365
5/13/2020,2020,5,13,9,0,8,0,886,27,0.28125,0.7720090293453725,-0.15330661322645292,-0.4444444444444444
5/14/2020,2020,5,14,5,0,9,0,891,27,0.15625,0.4320987654320988,0.62,0.2777777777777778
5/15/2020,2020,5,15,11,0,5,0,902,27,0.34375,0.951219512195122,-0.9345238095238094,-0.22727272727272727
5/16/2020,2020,5,16,9,0,11,0,911,27,0.28125,0.7804610318331504,0.31176470588235294,0.4090909090909091
5/17/2020,2020,5,17,21,0,9,0,932,27,0.65625,1.8025751072961373,-1.8867187500000002,-0.21428571428571427
5/18/2020,2020,5,18,23,0,21,0,955,27,0.71875,1.9507853403141362,-0.3110687022900763,-0.45652173913043476
5/19/2020,2020,5,19,7,0,23,0,962,27,0.21875,0.5966735966735967,2.5095057034220534,0.15217391304347827
5/20/2020,2020,5,20,64,1,7,0,1026,28,2.0,5.820245057087163,-9.662317694605518,-0.0546875
5/21/2020,2020,5,21,62,0,64,1,1088,28,1.9375,4.786764705882353,1.1457732584610714,0.484375
5/22/2020,2020,5,22,10,0,62,0,1098,28,0.3125,0.7741347905282331,7.397670549084858,0.08064516129032258
5/23/2020,2020,5,23,17,0,10,0,1115,28,0.53125,1.3112107623318385,-0.9272588055130169,-0.29411764705882354
5/24/2020,2020,5,24,26,1,17,0,1141,29,0.8125,2.637643930006951,-2.0795454545454546,-0.3269230769230769
5/25/2020,2020,5,25,0,0,26,1,1141,29,0.0,0.0,4.289595112757523,0.0
5/26/2020,2020,5,26,21,0,0,0,1162,29,0.65625,1.5903614457831325,-2.7780269058295963,0.0
5/27/2020,2020,5,27,7,0,21,0,1169,29,0.21875,0.5329341317365269,1.8159420289855073,0.16666666666666666
5/28/2020,2020,5,28,4,0,7,0,1173,29,0.125,0.3069053708439898,0.3856534090909091,0.2857142857142857
5/29/2020,2020,5,29,19,1,4,0,1192,30,0.59375,2.1171700223713645,-2.8326056208105284,-0.10526315789473684
5/30/2020,2020,5,30,29,0,19,1,1221,30,0.90625,2.185094185094185,-0.40616343490304696,-0.3275862068965517
5/31/2020,2020,5,31,22,1,29,0,1243,31,0.6875,2.323437053953754,-0.0017076502732240595,0.3793103448275862
6/1/2020,2020,6,1,0,0,22,1,1243,31,0.0,0.0,3.678376184032476,0.0
6/2/2020,2020,6,2,14,1,0,0,1257,32,0.3888888888888889,1.734437151949085,-2.690257104194858,0.0
6/3/2020,2020,6,3,50,1,14,1,1307,33,1.3888888888888888,4.33124666713037,-4.565737051792829,0.36
6/4/2020,2020,6,4,6,0,50,1,1313,33,0.16666666666666666,0.43869002284843867,6.304572487081993,0.06
6/5/2020,2020,6,5,8,0,6,0,1321,33,0.2222222222222222,0.587433762301287,-0.234093637454982,-0.375
6/6/2020,2020,6,6,11,1,8,0,1332,34,0.3055555555555556,1.5151916622504857,-1.2961999078765545,-0.36363636363636365
6/7/2020,2020,6,7,19,0,11,1,1351,34,0.5277777777777778,1.392301998519615,-0.023954742331830814,-0.2894736842105263
6/8/2020,2020,6,8,18,2,19,0,1369,36,0.5,2.7037172307442576,-1.770094562647754,0.47368421052631576
6/9/2020,2020,6,9,20,0,18,2,1389,36,0.5555555555555556,1.4542836573074154,1.5534340267882587,-0.45
6/10/2020,2020,6,10,14,0,20,0,1403,36,0.3888888888888889,1.0178189593727727,0.724381625441696,0.35
6/11/2020,2020,6,11,20,0,14,0,1423,36,0.5555555555555556,1.4476458186929024,-0.7263157894736842,-0.35
6/12/2020,2020,6,12,20,0,20,0,1443,36,0.5555555555555556,1.4414414414414414,0.0,0.5
6/13/2020,2020,6,13,4,0,20,0,1447,36,0.1111111111111111,0.2902557014512785,1.9605110336817653,0.1
6/14/2020,2020,6,14,18,0,4,0,1465,36,0.5,1.3023890784982937,-1.700114025085519,-0.1111111111111111
6/15/2020,2020,6,15,9,0,18,0,1474,36,0.25,0.6533242876526458,1.0858585858585859,0.25
6/16/2020,2020,6,16,16,1,9,0,1490,37,0.4444444444444444,1.8624342463268637,-1.7576819923371647,-0.28125
6/17/2020,2020,6,17,6,0,16,1,1496,37,0.16666666666666666,0.43716577540106955,2.1072767364939358,0.1875
6/18/2020,2020,6,18,15,1,6,0,1511,38,0.4166666666666667,1.80251837402905,-2.0011813885859686,-0.2
6/19/2020,2020,6,19,26,0,15,1,1537,38,0.7222222222222222,1.8776837996096292,-0.421288232425277,-0.28846153846153844
6/20/2020,2020,6,20,51,0,26,0,1588,38,1.4166666666666667,3.596977329974811,-3.001600853788687,-0.2549019607843137
6/21/2020,2020,6,21,16,0,51,0,1604,38,0.4444444444444444,1.1271820448877805,4.12941787941788,0.1568627450980392
6/22/2020,2020,6,22,19,1,16,0,1623,39,0.5277777777777778,2.052514337172378,-1.2638884395120846,-0.42105263157894735
6/23/2020,2020,6,23,22,0,19,1,1645,39,0.6111111111111112,1.5379939209726443,0.55975,-0.4318181818181818
6/24/2020,2020,6,24,18,0,22,0,1663,39,0.5,1.2555622369212267,0.46460618145563315,0.4090909090909091
6/25/2020,2020,6,25,35,0,18,0,1698,39,0.9722222222222222,2.411660777385159,-1.983614697120159,-0.2571428571428571
6/26/2020,2020,6,26,22,0,35,0,1720,39,0.6111111111111112,1.5093023255813953,1.5043945312500002,0.3142857142857143
6/27/2020,2020,6,27,21,1,22,0,1741,40,0.5833333333333334,2.1603819643882827,-0.8066387415621986,0.4772727272727273
6/28/2020,2020,6,28,5,0,21,1,1746,40,0.1388888888888889,0.3436426116838488,2.766509020844281,0.11904761904761904
6/29/2020,2020,6,29,33,1,5,0,1779,41,0.9166666666666666,2.9762267099905397,-4.151946409062158,-0.07575757575757576
6/30/2020,2020,6,30,10,0,33,1,1789,41,0.2777777777777778,0.6819452207937395,3.515738827878656,0.15151515151515152
7/1/2020,2020,7,1,8,0,10,0,1797,41,0.0425531914893617,0.5475792988313857,0.22352941176470587,0.4
7/2/2020,2020,7,2,34,0,8,0,1831,41,0.18085106382978725,2.302566903331513,-2.924119241192412,-0.11764705882352941
7/3/2020,2020,7,3,25,0,34,0,1856,41,0.13297872340425532,1.6837284482758619,0.996910856134157,0.36764705882352944
7/4/2020,2020,7,4,17,0,25,0,1873,41,0.09042553191489362,1.1436198611852642,0.8861646234676007,0.34
7/5/2020,2020,7,5,12,0,17,0,1885,41,0.06382978723404255,0.8084880636604774,0.5543478260869565,0.35294117647058826
7/6/2020,2020,7,6,22,1,12,0,1907,42,0.6170212765957447,2.214760156815742,-2.0390247007894065,-0.2727272727272727
7/7/2020,2020,7,7,39,0,22,1,1946,42,0.2074468085106383,2.5853031860226103,-0.9754138565297364,-0.28205128205128205
7/8/2020,2020,7,8,66,0,39,0,2012,42,0.35106382978723405,4.26441351888668,-2.980964467005076,-0.29545454545454547
7/9/2020,2020,7,9,71,1,66,0,2083,43,0.8776595744680851,5.209380477620606,-1.4724093111189887,-0.4647887323943662
7/10/2020,2020,7,10,86,0,71,1,2169,43,0.4574468085106383,5.233748271092669,-0.7204832509610102,-0.4127906976744186
7/11/2020,2020,7,11,166,0,86,0,2335,43,0.8829787234042553,9.455246252676659,-8.689991863303499,-0.25903614457831325
7/12/2020,2020,7,12,85,0,166,0,2420,43,0.4521276595744681,4.706611570247934,8.322765469824294,0.2560240963855422
7/13/2020,2020,7,13,32,2,85,0,2452,45,1.1702127659574468,3.228493746601414,3.3054356514788164,0.18823529411764706
7/14/2020,2020,7,14,90,2,32,2,2542,47,1.4787234042553192,6.261914726216583,-5.486486486486487,0.3222222222222222
7/15/2020,2020,7,15,56,1,90,2,2598,48,0.7978723404255319,3.6822074672825247,4.048800799467022,0.5611111111111111
7/16/2020,2020,7,16,99,1,56,1,2697,49,1.0265957446808511,5.800322353635559,-3.8798045602605864,0.21717171717171718
