year,month,MOHAFAZA_ID,MOHAFAZA_AR,MOHAFAZA_EN,Topics
2020,7,2,بعلبك - هرمل,Baalbak - Hermel,"['#كورونا #كورونا_لبنان', 'إصابة جديدة', '#Covid_19 cases']"
2020,7,3,بيروت,Beirut,"['#كورونا #لبنان', 'إصابة جديدة', 'فيروس كورونا']"
2020,7,4,البقاع,Bekaa,"['#كورونا #لبنان', 'واقع خطير', 'ستتحمّل المسؤولية', 'الحكومة الجديدة', '#كورونا #لبنان_ينتقض']"
2020,7,5,جبل لبنان,Mount Lebanon,"['#كورونا #لبنان', 'Legalize Medical Marijuana', 'Syrian refugee', 'إصابة جديدة']"
2020,7,6,نبطية,Nabatiyeh,"['فيروس كورونا', 'التقرير اليومي']"
2020,7,7,الشمال,North,"['بفيروس كورونا', '#كورونا #لبنان', 'وزارة الصحة', 'إصابة جديدة', 'من المقيمين والوافدين']"
2020,7,8,الجنوب,South,"['إصابة جديدة', 'فيروس #كورونا', 'وزارة الصحة', 'مشكلة كورونا']"
2020,8,1,عكار,Akkar,"['كورونا كورونا_لبنان', 'medical supplies', 'beirut lebanon', 'إصابات كورونا', 'economical crisis', 'emergency medical support']"
2020,8,2,بعلبك - هرمل,Baalbak - Hermel,"['كورونا كورونا_لبنان', '#كورونا_لبنان_سبسيال', 'record breaking day', 'foodbanks medical charities']"
2020,8,3,بيروت,Beirut,"['medical supplies', 'كورونا لبنان', 'medical relief', 'beirut lebanon', 'medical aid', 'emergency medical', 'beirut explosion', 'لبنان بيروت', 'help lebanon']"
2020,8,4,البقاع,Bekaa,"['medical supplies', 'كورونا كورونا_لبنان', 'كلن_يعني_كلن كورونا_لبنان', 'lebanon relief', 'lebanon beirutblast', 'كورونا_لبنان لبنان_ينتفض حكام_العار', 'كلن_يعني_كلن كورونا_لبنان انفجار_المرفأ']"
2020,8,5,جبل لبنان,Mount Lebanon,"['كورونا لبنان', 'medical aid', 'aid lebanon', 'medical supplies', 'كورونا كورونا_لبنان']"
2020,8,6,نبطية,Nabatiyeh,['كورونا لبنان']
2020,8,7,الشمال,North,"['كورونا كورونا_لبنان', 'beirut lebanon', 'conference support lebanon']"
2020,8,8,الجنوب,South,"['كورونا لبنان', 'medical supplies', 'وزارة الصحة', 'medical assistance', 'medical supplies lebanon', 'معا_نعزل_كورونا لبنان']"
2020,9,1,عكار,Akkar,"['#وعيك_امانه', 'كورونا سجن_رومية']"
2020,9,2,بعلبك - هرمل,Baalbak - Hermel,['كورونا كورونا_لبنان']
2020,9,3,بيروت,Beirut,"['كورونا كورونا_لبنان', 'لبنان بيروت', 'وزارة الصحة']"
2020,9,4,البقاع,Bekaa,"['الكمامة أكسسوار مراية', 'مراية السيارة كورونا_لبنان']"
2020,9,5,جبل لبنان,Mount Lebanon,"['كورونا لبنان', 'وزارة الصحة', 'حالات وفاة', 'إصابات جديدة', 'خليك_بالبيت وطنك_بيتك']"
2020,9,6,نبطية,Nabatiyeh,"['covid cases', 'كورونا لبنان', 'التعليم إجراءات الوقاية', 'غلطة المستهتر إصابة']"
2020,9,7,الشمال,North,"['كورونا كورونا_لبنان', 'الوقاية_ثم_الوقاية_ثم_الوقاية كورونا']"
2020,9,8,الجنوب,South,"['كورونا لبنان', 'وزارة الصحة', 'معا_نعزل_كورونا', 'إصابات جديدة', 'طرابلس كورونا لبنان']"
